"Time [s]","Torque1.Torque []"
0.354,61.9860514756815
0.356,63.4621056640235
0.358,64.4232487030864
0.36,64.7289756459003
0.362,65.3254027482681
0.364,65.1141433019656
0.366,65.8405828203863
0.368,65.9068196724378
0.37,65.8482156457633
0.372,66.2032068692157
0.374,65.956898327328
0.376,65.8846674552609
0.378,66.1258537745416
0.38,66.3954391320726
0.382,66.1037550775059
0.384,66.0389694010634
0.386,66.1678181660214
0.388,66.3428746086154
0.39,66.4819050540743
0.392,66.5684624740153
0.394,66.594346354139
0.396,66.5584815183878
0.398,66.4625704190563
0.4,66.3165827833938
0.402,66.1488509019586
0.404,66.0139488585551
0.406,66.2028126688178
0.408,66.3682650866804
0.41,66.0541018803894
0.412,65.9082274166121
0.414,66.0046520994091
0.416,66.2023006630465
0.418,65.7376828793962
0.42,65.9668074479577
0.422,65.6611311597803
0.424,65.1970686835514
0.426,65.2481339090348
0.428,64.7682573742397
0.43,64.2599476462476
0.432,63.3804739526115
0.434,61.6412853688416
0.436,58.8968919159405
0.438,53.8180019672529
0.44,39.4335706269053
0.442,10.3902960007661
0.444,-17.5460877900541
0.446,-43.2110565318366
0.448,-54.5484846688884
0.45,-59.0555400127116
0.452,-61.340530704489
0.454,-62.7260644893951
0.456,-63.7193278353257
0.458,-63.9029107769222
0.46,-64.6106454016977
0.462,-64.4020790448327
0.464,-64.978409481422
0.466,-64.8845261881527
0.468,-65.1482397406372
0.47,-65.4955487169722
0.472,-65.1549297233886
0.474,-65.1955568967726
0.476,-65.5493563660278
0.478,-65.6916846101978
0.48,-65.1313922909583
0.482,-65.1896303538361
0.484,-65.2999138956616
0.486,-65.501545931552
0.488,-65.6829083868644
0.49,-65.8181444485318
0.492,-65.8630931774298
0.494,-65.8372604995825
0.496,-65.7290248115026
0.498,-65.546966404199
0.5,-65.3521231451378
0.502,-65.1957584375273
0.504,-65.1567126930079
0.506,-65.5803236400812
0.508,-65.6296242851531
0.51,-65.2509591500772
0.512,-65.1770631057977
0.514,-65.4058721768165
0.516,-65.3485179825704
0.518,-64.8107434308824
0.52,-65.1423516759787
0.522,-64.4149663931349
0.524,-64.6710885735006
0.526,-64.0322420873609
0.528,-63.9221881204432
0.53,-62.8769493255005
0.532,-61.8717735374281
0.534,-59.7797480143617
0.536,-55.8427260468166
0.538,-47.6669403611016
0.54,-25.3169796986818
0.542,3.24897390249346
0.544,33.1105129313991
0.546,51.6024381867002
0.548,57.7041427873264
0.55,61.1286211991409
0.552,63.0688548446187
0.554,63.9211931433747
0.556,64.7873258786348
0.558,65.0530251356284
0.56,65.3264906573414
0.562,65.3815914628066
0.564,66.091735420836
0.566,65.6806972912504
0.568,66.1920538903757
0.57,66.0878269668974
0.572,65.9441858056785
0.574,65.9527817109611
0.576,66.3026371856655
0.578,66.3295771288903
0.58,65.9713822621752
0.582,66.1177209333851
0.584,66.2681776672278
0.586,66.4234573838251
0.588,66.533222180326
0.59,66.5846778332708
0.592,66.5745355605225
0.594,66.503212011645
0.596,66.376591569942
0.598,66.2101307481882
0.6,66.0738611989037
0.602,65.936623257754
0.604,66.4004520987419
0.606,66.2111002430342
0.608,65.8852427071519
0.61,65.9573545991547
0.612,66.1909246442598
0.614,66.0098657329256
0.616,65.7744417711123
0.618,66.0359190035139
0.62,65.1251987224901
0.622,65.4237174996889
0.624,64.7887051297798
0.626,64.6795437632604
0.628,63.5976011975731
0.63,62.5116449997952
0.632,60.4297086612646
0.634,56.1085366554635
0.636,47.3030187307697
0.638,23.3041722621208
0.64,-5.48966983130507
0.642,-34.0573880186431
0.644,-51.650769945202
0.646,-57.3810357202766
0.648,-60.4932265342911
0.65,-62.4389675552093
0.652,-63.2010494302774
0.654,-63.9566046283899
0.656,-64.3160321513613
0.658,-64.5048682047408
0.66,-64.6037900490809
