"Time [s]","Torque1.Torque []"
0,0.00797359873340405
0.002,0.00800867821949094
0.004,0.00805028909709527
0.006,0.0081198157036919
0.008,0.0082175115666477
0.01,0.00834371571080788
0.012,0.00849886610866283
0.014,0.00868350119369018
0.016,0.00889826174908233
0.018,0.00914389312707181
0.02,0.0094212478408032
0.022,0.00973128853099469
0.024,0.0100750913132682
0.026,0.0104538495228268
0.028,0.0108688778599297
0.03,0.0113216169743566
0.032,0.0118136384645101
0.034,0.0123466503587102
0.036,0.0129225030527046
0.038,0.0135431957464835
0.04,0.014210883422132
0.042,0.0149278843286175
0.044,0.0156966880635043
0.046,0.0165199642494661
0.048,0.0174005718305087
0.05,0.018341569037098
0.052,0.0193462240566369
0.054,0.020418026414397
0.056,0.0215606991626348
0.058,0.022778211856687
0.06,0.0240747944306057
0.062,0.0254549519434305
0.064,0.0269234803446764
0.066,0.0284854832130381
0.068,0.0301463896190945
0.07,0.0319119731086131
0.0720000000000001,0.0337883719096027
0.0740000000000001,0.0357821104460182
0.0760000000000001,0.0379001221780076
0.0780000000000001,0.0401497739422751
0.0800000000000001,0.0425388917830277
0.0820000000000001,0.0450757884562954
0.0840000000000001,0.0477692926283783
0.0860000000000001,0.0506287799503446
0.0880000000000001,0.0536642060656672
0.0900000000000001,0.0568861417069402
0.0920000000000001,0.0603058099933802
0.0940000000000001,0.0639351260812327
0.0960000000000001,0.0677867393083616
0.0980000000000001,0.0718740780178321
0.1,0.0762113971654899
0.102,0.0808138289947006
0.104,0.0856974368719611
0.106,0.0908792725741378
0.108,0.0963774372053987
0.11,0.102211146005576
0.112,0.108400797307188
0.114,0.114968045920472
0.116,0.121935881254446
0.118,0.129328710488681
0.12,0.137172447169095
0.122,0.145494605583523
0.124,0.154324401349253
0.126,0.163692858654157
0.128,0.173632924646386
0.13,0.18417959148151
0.132,0.195370026639242
0.134,0.207243712120462
0.136,0.219842593224788
0.138,0.233211237675197
0.14,0.247397005918965
0.142,0.262450233550994
0.144,0.278424426860445
0.146,0.295376472655082
0.148,0.313366863610148
0.15,0.332459940548121
0.152,0.352724153231067
0.154,0.374232341359788
0.156,0.397062037789602
0.158,0.421295796073644
0.16,0.447021544768792
0.162,0.474332971172816
0.164,0.503329937419892
0.166,0.534118932120183
0.168,0.566813560966204
0.17,0.601535079819888
0.172,0.638412973843104
0.174,0.677585585870538
0.176,0.71920079662135
0.178,0.763416757940228
0.18,0.810402678037016
0.182,0.860339654080603
0.184,0.91342154215412
0.186,0.969855847032969
0.188,1.02986460410809
0.19,1.09368521363408
0.192,1.16157117411615
0.194,1.23379265086516
0.196,1.31063681335834
0.198,1.39240789130678
0.2,1.47942694770238
0.202,1.57203146147654
0.204,1.67057496026606
0.206,1.77542713500195
0.208,1.8869750708028
0.21,2.00415105752632
0.212,2.12685573373349
0.214,2.2570483973645
0.216,2.39511031722611
0.218,2.54148700694196
0.22,2.69672921000809
0.222,2.86154155541166
0.224,3.03683428882531
0.226,3.22376934897081
0.228,3.42379132919991
0.23,3.63863751191852
0.232,3.87032842853678
0.234,4.11998298966211
0.236,4.3863522962314
0.238,4.67114071401649
0.24,4.97690897405536
0.242,5.30727315677775
0.244,5.66701669375197
0.246,6.06027686291256
0.248,6.4759093496086
0.25,6.93802065589974
0.252,7.45063052248157
0.254,8.01681365013144
0.256,8.63903263195377
0.258,9.33043921498619
0.26,10.1139407514184
0.262,11.0189816827228
0.264,12.0299500191721
0.266,13.1634702595559
0.268,14.4708185119964
0.27,15.845919613867
0.272,17.3929010650737
0.274,19.241800439739
0.276,21.5353484751221
0.278,24.4758481299087
0.28,28.2576994466955
0.282,33.3223103458729
0.284,39.5627646461477
0.286,47.3539928336999
0.288,55.6012209134675
0.29,63.1899220566953
0.292,66.7181836257872
0.294,67.0561753907435
0.296,67.5009754083836
0.298,67.3607754379807
0.3,67.3676095606997
0.302,67.6663969647544
0.304,67.1817578320199
0.306,67.3993804893642
0.308,67.0646856317531
0.31,66.9404877735822
0.312,66.9278076989013
0.314,66.4390668719894
0.316,66.6829933997184
0.318,66.3320285835947
0.32,65.9372133548119
