"Time [ms]","InducedVoltage(phaseA) []","InducedVoltage(phaseB) []"
88.0000000000001,0.328270462853424,-0.0888720033894264
88.5000000000001,0.326797455986652,-0.128200270744132
89.0000000000001,0.312350285536992,-0.171181987543997
89.5000000000001,0.274265707714456,-0.217031817823648
90.0000000000001,0.227385296980847,-0.266515349847059
90.5000000000001,0.180562753057194,-0.303666151123257
91.0000000000001,0.13773057239055,-0.321107483517873
91.5000000000001,0.0977286837367071,-0.327130170960669
92.0000000000001,0.0630145259517758,-0.32330399291416
92.5000000000001,0.0335289406129451,-0.300781986225516
93.0000000000001,0.00962106062743429,-0.259966117362049
93.5000000000001,-0.0166364095742764,-0.211483616476047
94.0000000000001,-0.0446270920090606,-0.165403682520196
94.5000000000001,-0.0780634774786524,-0.123348124429435
95.0000000000001,-0.115509085368481,-0.0868399389723966
95.5000000000001,-0.155570815492226,-0.0539235629491908
96.0000000000001,-0.203751358103684,-0.0258684733471903
96.5000000000001,-0.252347459783405,-0.000985148844722339
97.0000000000001,-0.294724455801193,0.0249641672667322
97.5000000000001,-0.31744542519578,0.0534375983648543
98.0000000000001,-0.326455418350404,0.0877852538198363
98.5000000000001,-0.327188455998855,0.127556738323441
99.0000000000001,-0.310464848428394,0.170677446268332
99.5000000000001,-0.27441475846484,0.217239787943117
100,-0.226001428007268,0.266415991487902
