"Time [ns]","Moving1.Position [deg]","Torque1.Torque [deg]"
0,320,8.44656314131858
2000000,320.009686732223,8.46667937582584
4000000,320.038793152746,8.52734443518494
6000000,320.087458631479,8.62943753766277
8000000,320.155917715716,8.77444344788104
10000000,320.24450356279,8.96453055989961
12000000,320.353652957747,9.2026767808673
14000000,320.483913230224,9.49291042307406
16000000,320.635951659445,9.84076255905423
18000000,320.810568435771,10.2540138321099
20000000,321.008714816015,10.7435411253632
22000000,321.231518045243,11.3233013552765
24000000,321.480295717378,11.9641859701073
26000000,321.756530922033,12.7036068035315
28000000,322.06192570052,13.5609725935521
30000000,322.398453847551,14.5594710729152
32000000,322.76837156178,15.6148256269966
34000000,323.174125406946,16.7999978230384
36000000,323.618467508765,18.2090027608431
38000000,324.104645453391,19.8899714837539
40000000,324.636577003294,22.0137698153363
42000000,325.21917180167,24.6910235940348
44000000,325.858641808217,28.1210826112945
46000000,326.562997561841,32.6951345782945
48000000,327.342702120737,38.3610899912749
50000000,328.210861606278,45.4349618894735
52000000,329.183428485354,53.2369795447098
54000000,330.278021507163,61.0808145612709
56000000,331.511511299964,66.0706583383567
58000000,332.894886124809,67.0346483810744
60000000,334.43160091543,67.2338397895947
62000000,336.122472143064,67.6106008130374
64000000,337.967991075529,67.1905014526934
66000000,339.967857537626,67.7082810355718
68000000,342.122507479105,67.1985758398076
70000000,344.431455851298,67.4497625987406
72000000.0000001,346.894737183103,67.0451172014232
74000000.0000001,349.511888995685,67.2017452744852
76000000.0000001,352.282777545477,66.6297385383147
78000000.0000001,355.206655042349,66.8034274273381
80000000.0000001,358.283525205134,66.6904144908587
82000000.0000001,1.51306239857617,66.1162662409089
84000000.0000001,4.89434086671938,66.1022487513296
86000000.0000001,8.42713183099981,66.133526080205
88000000.0000001,12.1113249990093,65.7336894049155
90000000.0000001,15.9461399811627,65.2587036210976
92000000.0000001,19.9306726170273,65.1913969536735
94000000.0000001,24.0643961813826,64.5566460045616
96000000.0000001,28.3457575088244,63.0967789490705
98000000.0000001,32.7711303041282,60.0773794223758
100000000,37.332578252132,52.8376200770022
102000000,42.0075077549836,25.6661561260549
104000000,46.7364755225063,-14.0303984950655
106000000,51.4355657789679,-47.7637031935076
108000000,56.0342578873445,-57.7565257791925
110000000,60.5029345091628,-61.5899415434844
112000000,64.8312833927822,-63.2608675638136
114000000,69.0150050821645,-63.9996973042068
116000000,73.0521792817028,-64.4007744670366
118000000,76.9416455994684,-65.0955350397465
120000000,80.6820451909182,-65.4728622808287
122000000,84.2726394534954,-65.2024497159053
124000000,87.7137213500031,-65.1397979083003
126000000,91.0051496737087,-66.0304960681465
128000000,94.1456940257034,-65.7515320448452
130000000,97.1353497821435,-65.9887951731046
132000000,99.9737429852822,-66.2977257736067
134000000,102.660369701055,-66.1440365439823
136000000,105.195181509338,-66.5766264425981
138000000,107.577679955581,-66.3049070462124
140000000,109.807922166399,-66.8096375981299
142000000,111.885357490257,-66.5040371397303
144000000,113.810149405755,-66.7937224430482
146000000,115.582127593676,-66.3864763617522
148000000,117.201994648729,-65.8863867292477
150000000,118.67116035496,-64.6031853413806
152000000,119.994101677139,-58.51541417035
154000000,121.183818643761,-50.1157052226667
156000000,122.258623545674,-41.8608468537987
158000000,123.237134959877,-34.5366686781061
160000000,124.136031292099,-28.4242756570197
162000000,124.96918474875,-23.8806744570805
164000000,125.747165337805,-20.4952561138102
166000000,126.477873174438,-17.8980775254765
168000000,127.16733062533,-15.9056911188307
170000000,127.82031408944,-13.9678320981064
172000000,128.441232831825,-12.1682256673327
174000000,129.034155801578,-10.6520265906527
176000000,129.602592173752,-9.32943052559066
178000000,130.149587535162,-8.16268622612446
180000000,130.677833742231,-7.10499585024472
182000000,131.189762461867,-6.13641257818763
184000000,131.687594187759,-5.2551971553296
186000000,132.173349701485,-4.45824832200323
188000000,132.648874126459,-3.69673727373824
190000000,133.115925028391,-2.93843403135103
192000000,133.576230328922,-2.20946977392218
194000000,134.031468296827,-1.48993266388434
196000000,134.48328602862,-0.784956774418743
198000000,134.933300063559,-0.0923075571592202
200000000,135.383099573366,0.592561518921096
202000000,135.834262331298,1.29103672496534
204000000,136.288390588187,2.00694969985174
206000000,136.747121354865,2.73050692299955
208000000,137.212115009712,3.46722549345032
210000000,137.685065501164,4.23154062606096
212000000,138.167725038151,5.02483377331003
214000000,138.661924902696,5.881631176101
216000000,139.169628459579,6.80122539277937
218000000,139.692959235347,7.82543062418385
220000000,140.234264777499,8.95488046358082
222000000,140.796151526226,10.2365203363578
224000000,141.381573349961,11.7137204794643
226000000,141.993910982942,13.3740215743529
228000000,142.636986134434,15.2608285071556
230000000,143.315067592145,17.2289597717629
232000000,144.03280226054,19.635195216093
234000000,144.795796537126,22.7196365299597
236000000,145.611204414452,26.7047445259123
238000000,146.488384767967,32.1813498576907
240000000,147.439865997592,39.0890948270987
242000000,148.481569909319,47.6647002329921
244000000,149.632662426597,56.6308038960629
246000000,150.913023950497,64.2375521336978
248000000,152.338663839347,66.756857611545
250000000,153.916457444802,67.0725160062812
252000000,155.648043265618,67.5801566619864
254000000,157.534131730733,67.0938342528332
256000000,159.574370057997,67.6079017277922
258000000,161.769274638432,67.3898627678795
260000000,164.1187132712,67.4018501508944
262000000,166.622505700568,67.1000311695641
264000000,169.280236841459,67.208629527327
266000000,172.091748595936,66.6621556399659
268000000,175.056314463183,66.8374781494184
270000000,178.17392014813,66.6452375860265
272000000,181.44414887575,66.1477628686039
274000000,184.866149443587,66.1014594752856
276000000,188.439680506713,66.1523082286036
278000000,192.164633093806,65.7099303522258
280000000,196.040166548839,65.2277607715577
282000000,200.065344708128,65.1479461763731
284000000,204.239603935448,64.4737779531049
286000000,208.561320350201,62.9989559773197
288000000,213.026752170374,59.7764496997477
290000000,217.627447515832,52.0143263379554
292000000,222.339092666935,22.6321568861024
294000000,227.098580445984,-17.291246809333
296000000,231.821426274741,-49.3955711889363
298000000,236.439918057617,-58.3247216982815
300000000,240.926785013071,-61.8985344011007
302000000,245.27255523751,-63.4715186971449
304000000,249.47320762492,-64.1329997396244
306000000,253.527026851232,-64.4047991857292
308000000,257.433149557694,-64.9163882844425
310000000,261.190469891224,-65.4933490455216
312000000,264.797982412118,-65.3061518879969
314000000,268.255801873303,-65.1775572976904
316000000,271.563860634824,-66.0562138063361
318000000,274.720927651563,-65.8930509441192
320000000,277.726939558533,-65.832935030784
322000000,280.581844460111,-66.3724239706066
324000000,283.284908243564,-66.1964867666459
326000000,285.83601804266,-66.656229745708
328000000,288.234570068735,-66.5739100585907
330000000,290.48044680576,-66.7511020743142
332000000,292.573574788705,-66.3169846943018
334000000,294.514400893869,-66.7063427871594
336000000,296.302688996301,-66.2012014710489
338000000,297.939297088564,-65.586189364415
340000000,299.426861508854,-61.6494618491074
342000000,300.774915537861,-53.0533135361018
344000000,302.001600036402,-43.8819717369506
346000000,303.127473351728,-35.341860012227
348000000,304.171812481885,-28.2065858298695
350000000,305.150755369607,-23.0387590068172
352000000,306.076370553197,-19.2499810884308
354000000,306.957474171288,-16.492322614615
356000000,307.800665563825,-14.0347028550302
358000000,308.611637772686,-11.718491584
360000000,309.395603615594,-9.79383154085037
362000000,310.157017543207,-8.14695843100566
364000000,310.899690607373,-6.68180050684435
366000000,311.626995033162,-5.36084072592588
368000000,312.341954589508,-4.19362921931079
370000000,313.04729449603,-3.04882673850342
372000000,313.745631203177,-1.94539692027391
374000000,314.43950350011,-0.857384188533761
376000000,315.131401621321,0.206553718483016
378000000,315.823774693247,1.27458737922551
380000000,316.519078526217,2.36781123620665
382000000,317.219807539109,3.4572554998085
384000000,317.928484958982,4.61204757851911
386000000,318.647762702909,5.84613766486916
388000000,319.380481839903,7.19288652441582
390000000,320.129753874869,8.71770179013394
392000000,320.899091769017,10.4686028109159
394000000,321.692539757882,12.5279673316385
396000000,322.514823686961,14.9118428100322
398000000,323.371325526888,17.4069425479836
400000000,324.267950834524,20.5033798187889
402000000,325.211968864346,24.653394724846
404000000,326.213085664968,30.3672736766965
406000000,327.284500975302,37.9185786252907
408000000,328.443538346576,47.3524309430124
410000000,329.711274543223,57.2445569702829
412000000,331.109378560003,64.9714961715716
414000000,332.654160955569,66.872556039709
416000000,334.35160381407,67.2024370475316
418000000,336.203090730545,67.6040964830365
420000000,338.209223536316,67.2431684545114
422000000,340.369780598498,67.7049875974233
424000000,342.685084493776,67.0631428402413
426000000,345.154485309896,67.4672364204162
428000000,347.778176051725,66.9979924231999
430000000,350.555597469108,67.0067613471628
432000000,353.486548532046,66.9146343374652
434000000,356.570716579917,66.4558298653103
436000000,359.807453419862,66.6862098232664
438000000,3.19680849863164,66.3529457520819
440000000,6.73820538403049,65.9465261237505
442000000,10.430916915893,66.001767845396
444000000,14.2748828456002,66.0294900712054
446000000,18.2699166303785,65.3749916072173
448000000,22.4148129411397,64.8097190634503
450000000,26.707976129542,63.5479101123618
452000000,31.1463956005154,61.2786989983498
454000000,35.7240557988821,55.8686657765093
456000000,40.4251101806651,38.2918546594131
458000000,45.2053984402559,-1.6022773837231
460000000,49.9826759015999,-39.764996502553
462000000,54.6772756554613,-55.7874686419653
464000000,59.2482597559661,-60.7101526415185
466000000,63.6811680895646,-62.8534332506289
468000000,67.9704448952927,-63.9025750073817
470000000,72.1134105592146,-64.5779402520356
472000000,76.1084102121395,-65.1597749235567
474000000,79.9542134321641,-65.3783080056238
476000000,83.6503381070464,-65.1845079033504
478000000,87.1969175197285,-65.3922413036012
480000000,90.5935092695603,-65.9133099974478
482000000,93.8393249828727,-65.6852592639134
484000000,96.9343626461144,-66.0816649659943
486000000,99.8780305920269,-66.2730741541554
488000000,102.669933824558,-66.1451289445042
490000000,105.3100209285,-66.6001052954507
492000000,107.79772193318,-66.400324831651
494000000,110.133010951292,-66.8122431467494
496000000,112.315510181611,-66.3534316423139
498000000,114.345616418938,-66.7379529844634
500000000,116.223119138546,-66.2098315685119
502000000,117.948915422446,-65.5892406794465
504000000,119.525854442685,-61.1406106710125
506000000,120.964578103417,-51.695281669458
508000000,122.285050891103,-41.6583243534941
510000000,123.509672923278,-32.6081120470361
512000000,124.658837865132,-25.4554279661671
514000000,125.748827391188,-20.4910523783198
516000000,126.791308079065,-16.9582100229889
518000000,127.79468507145,-14.0493429342174
520000000,128.765792291023,-11.3264859054088
522000000,129.710754653013,-9.09179053663262
524000000,130.634753109865,-7.18972726189476
526000000,131.542190558388,-5.50591883083135
528000000,132.436924781873,-4.04356279685673
530000000,133.322380649794,-2.61050804355536
532000000,134.201836206542,-1.22318294991548
534000000,135.078474624924,0.127988850930485
536000000,135.955406895887,1.48053180519859
538000000,136.8357464504,2.87013139856466
540000000,137.72267632715,4.29236587329
542000000,138.619478028936,5.80478261563658
544000000,139.529652340083,7.49791310589903
546000000,140.457108671614,9.44778852492776
548000000,141.406362404292,11.776395553279
550000000,142.382766779891,14.5268462143562
552000000,143.392538260126,17.4710952497102
554000000,144.442651351214,21.2028630286217
556000000,145.54189007012,26.3280455184174
558000000,146.702308762161,33.6537500189811
560000000,147.940698273649,43.184082378424
562000000,149.278525865952,53.9382072827911
564000000,150.739510682243,63.4879469198335
566000000,152.343599564481,66.7555736037646
568000000,154.099573987903,67.1251756397211
570000000,156.009433553635,67.6140843184055
572000000,158.07391446293,67.2162179416734
574000000,160.292783797423,67.708995916753
576000000,162.666394431915,67.0595744598519
578000000,165.194096008546,67.461849420583
580000000,167.876087135645,67.0221264178658
582000000,170.711827378366,66.9638883541681
584000000,173.701046262791,66.9284645484207
586000000,176.843470089999,66.4118557385805
588000000,180.138367552881,66.5991572432972
590000000,183.585758476479,66.4184618779215
592000000,187.185264719139,65.9639692985616
594000000,190.936052273843,65.7792097139758
596000000,194.837675857117,65.8069912207244
598000000,198.889953294151,65.4036922444767
600000000,203.092026462204,64.742546556204
602000000,207.44225237218,63.4890928955346
604000000,211.937417804541,60.7518641436033
606000000,216.570468773395,54.4869409294087
608000000,221.322030130332,31.5598426209328
610000000,226.139217432896,-8.91798752471317
612000000,230.937529187929,-45.3039604022156
614000000,235.641353316527,-57.2341984176557
616000000,240.216974635717,-61.3934160991054
618000000,244.652800807033,-63.1749784930433
620000000,248.944213143776,-63.9812047390646
622000000,253.089138863155,-64.401270016601
624000000,257.086382298072,-65.0450318041992
626000000,260.934630148514,-65.4881307702298
628000000,264.633045216512,-65.2637522761669
630000000,268.181833082655,-65.1799585604396
632000000,271.58087363215,-66.0539717158522
634000000,274.828912004249,-65.9269305576964
636000000,277.92582067544,-65.8949378155701
638000000,280.871504477985,-66.3990984954901
640000000,283.66527676173,-66.2120944158333
642000000,286.307066898792,-66.6408534221908
644000000,288.796264145081,-66.7117457645589
646000000,291.132620034728,-66.6498995132119
648000000,293.31619657114,-66.6640676336062
650000000,295.347065544777,-66.4812944217308
652000000,297.225735976061,-65.8656067967723
654000000,298.95403927813,-63.7165021277708
656000000,300.538922643726,-54.7409003608263
658000000,301.999059012754,-43.9067697410415
660000000,303.358338590385,-33.6744831063829
662000000,304.639633930054,-25.5575553992945
664000000,305.861358066495,-20.0523406525958
666000000,307.036465956222,-16.2741304985431
668000000,308.174117825875,-12.910768605001
670000000,309.281985404777,-10.0578859258185
672000000,310.366604616628,-7.72177030301541
674000000,311.433406376942,-5.70101191156944
676000000,312.487032200871,-3.96870284069859
678000000,313.531545268724,-2.28131634403543
680000000,314.570807011487,-0.65396872227324
682000000,315.608556559785,0.93827538413565
684000000,316.648470756755,2.56790415379069
686000000,317.694280685924,4.22509880886908
688000000.000001,318.749830469748,6.03058046569658
690000000.000001,319.819290749275,8.07017192040405
692000000.000001,320.907391144735,10.48844124994
694000000.000001,322.019732055908,13.437584814825
696000000.000001,323.16301372354,16.7639304818557
698000000.000001,324.344987894978,20.8034313455088
700000000.000001,325.575275746972,26.5072640578316
702000000.000001,326.867314797366,34.8317717898881
704000000.000001,328.240140956,45.6658035774164
706000000.000001,329.717926878112,57.2890321185923
708000000.000001,331.32574279614,65.595801214889
710000000.000001,333.081286918863,67.0792985166338
712000000.000001,334.990155660298,67.4899178541787
714000000.000001,337.053461957687,67.277606085874
716000000.000001,339.271125338858,67.5055581676652
718000000.000001,341.643390642733,67.4470484082693
720000000.000001,344.170241054717,67.4091148579577
722000000.000001,346.851460739529,67.0543033737976
724000000.000001,349.68654568677,67.1919867206407
726000000.000001,352.67537690449,66.684544621083
728000000.000001,355.817215879774,66.643207386412
730000000.000001,359.111873692764,66.8214073858957
732000000.000001,2.55928315542458,65.9740467614684
734000000.000001,6.15818501500393,65.8885732638522
736000000.000001,9.90824007979394,66.1898260634217
738000000.000001,13.8098480730566,66.1167614155534
740000000.000001,17.8627071160771,65.3174505803214
742000000.000001,22.0653514951839,64.750529149853
744000000.000001,26.4161746473314,63.6115534890462
746000000.000001,30.9123871525274,61.4316930999348
748000000.000001,35.5482026551762,56.141466792135
750000000.000001,40.3081972117262,39.1024426195736
752000000.000001,45.1489300703512,-1.17885671854081
754000000.000001,49.9875960820057,-39.7980084611228
756000000.000001,54.7436562540497,-55.890691823308
758000000.000001,59.3758994667968,-60.7912656765194
760000000.000001,63.8698862364648,-62.8987670450221
762000000.000001,68.2201442196752,-63.8947491802498
764000000.000001,72.4241232968355,-64.4795167522762
766000000.000001,76.4802789962863,-65.1878816784608
768000000.000001,80.387206966138,-65.4462390502646
770000000.000001,84.1443400475867,-65.1892629142536
772000000.000001,87.7519894161916,-65.1441543772748
774000000.000001,91.2099751341446,-66.0526407420465
776000000.000001,94.5170085083516,-65.8375944479879
778000000.000001,97.6730808367061,-65.8120753247493
780000000.000001,100.678093728472,-66.3867844543373
782000000.000001,103.531248049939,-66.2055942206795
784000000.000001,106.232432538109,-66.646931875468
786000000.000001,108.781018347462,-66.7090852077952
788000000.000001,111.176765977221,-66.6461457955522
790000000.000001,113.419726331071,-66.7024845728916
792000000.000001,115.509947860348,-66.4132235784458
794000000.000001,117.448190788428,-65.5236686298186
796000000.000001,119.237062563882,-62.5448650295886
798000000.000001,120.885380547888,-52.2658367874173
800000000.000001,122.414426249002,-40.6458942508111
802000000.000001,123.8498325037,-30.2980836601516
804000000.000001,125.214729048312,-22.755760454698
806000000.000001,126.526504546609,-17.7494485675304
808000000.000001,127.797104911133,-14.042693417355
810000000.000001,129.035401549711,-10.6507345244526
812000000.000001,130.249020504837,-7.96039268480482
814000000.000001,131.444239634087,-5.67832624014933
816000000.000001,132.626315668046,-3.73484536056127
818000000.000001,133.799806825036,-1.85744766697129
820000000.000001,134.969018746273,-0.0383769743138063
822000000.000001,136.138138051441,1.76848726211981
824000000.000001,137.311329463457,3.62517872474772
826000000.000001,138.492866666043,5.58002645526439
828000000.000001,139.687298609543,7.81306822901731
830000000.000001,140.899805059971,10.4866491119261
832000000.000001,142.136584403162,13.7866199770455
834000000.000001,143.40512212048,17.5101000222238
836000000.000001,144.714217685771,22.3531776295378
838000000.000001,146.075404514293,29.4517976963297
840000000.000001,147.505244130819,39.5722102864864
842000000.000001,149.026656202412,51.9954879142691
844000000.000001,150.666744918895,63.1405678428209
846000000.000001,152.448649645056,66.7156858491315
848000000.000001,154.382282721725,67.2205815100126
850000000.000001,156.469895744462,67.5205442482729
