"Time [s]","energy1 []"
0,1.8016766498589
0.01,1.80358374639531
0.02,1.81019074979683
0.03,1.82494462450819
0.04,1.85995949014949
0.05,1.95128781090767
0.06,2.2387216470534
0.07,2.75805411755118
0.0800000000000001,3.46728798336509
0.0900000000000001,4.31854126688851
0.1,5.10448725323698
0.11,5.19505340680031
0.12,4.51837861194898
0.13,3.6509356194753
0.14,2.88873362894285
0.15,2.31402720764266
0.16,1.96279264384502
0.17,1.85080882897752
0.18,1.81147468952335
0.19,1.7931839184578
0.2,1.78590409148522
0.21,1.78455519396876
0.22,1.78908709213231
0.23,1.79900398349627
0.24,1.8237811988242
0.25,1.88954695083927
0.26,2.09019094570746
0.27,2.54769694374384
0.28,3.21464748911542
0.29,4.04320529706501
0.3,4.90396009475265
0.31,5.26741522009161
0.32,4.76683148552262
0.33,3.89213736900096
0.34,3.07752186763126
0.35,2.43650530274148
0.36,2.00555781495142
0.37,1.85257828126619
0.38,1.80435038070544
0.39,1.78644631563184
0.4,1.78549125002238
0.41,1.79881946163011
0.42,1.83822788532641
0.43,1.95865301779213
0.44,2.32931650171421
0.45,2.93111033139811
0.46,3.71956227083936
0.47,4.6047069766757
0.48,5.22980691733899
0.49,5.03525344974444
0.5,4.19489265729328
0.51,3.33348945048772
0.52,2.61515255455824
0.53,2.10010513296866
0.54,1.86800668832365
0.55,1.80433377196139
0.56,1.7852171169047
0.57,1.79039561403259
0.58,1.82257763912585
0.59,1.93501709281939
0.6,2.29992862405302
0.61,2.90828480204289
0.62,3.7040113950357
0.63,4.59807282412911
0.64,5.22936065207333
0.65,5.03281936174282
0.66,4.18431849630951
0.67,3.31653557572338
0.68,2.58899225878557
0.69,2.06834995800479
0.7,1.85178149783135
0.71,1.79592476145197
0.72,1.78517250589196
0.73,1.80590496869723
0.74,1.89427189424196
0.75,2.21448086781636
0.76,2.80330222790716
0.77,3.58869771163527
0.78,4.48191832886825
0.790000000000001,5.19310188935085
0.800000000000001,5.09837811387994
0.810000000000001,4.28246606850156
0.820000000000001,3.39205236214913
0.830000000000001,2.63986863574209
0.840000000000001,2.08658051293701
0.850000000000001,1.84824089215979
0.860000000000001,1.7912350008238
0.870000000000001,1.78748892242049
0.880000000000001,1.82826146146334
0.890000000000001,2.00305655493527
0.900000000000001,2.50340782821827
0.910000000000001,3.21827219082941
0.920000000000001,4.0924643204322
0.930000000000001,4.97081476816778
0.940000000000001,5.24627940880247
0.950000000000001,4.64971815939438
0.960000000000001,3.73825253446923
0.970000000000001,2.90778819742761
0.980000000000001,2.26091578921787
0.990000000000001,1.88981182557604
1,1.79892715477509
