"Time [ns]","Moving1.Position [deg]","L(Winding1,Winding1) [deg]"
0,320,7.9378668496937
2000000,320.009241422281,7.93814737260719
4000000,320.03700772661,7.9389988019648
6000000,320.083425630767,7.94044893512898
8000000,320.148708288436,7.94254468926524
10000000,320.233158251539,7.94535215681497
12000000,320.337171789032,7.9489566617273
14000000,320.461244812407,7.95346282561751
16000000,320.60598087098,7.95899659710173
18000000,320.772102057304,7.96571610768205
20000000,320.960464150944,7.97384648195901
22000000,321.172077455018,7.9837527680324
24000000,321.408122834507,7.99502595049399
26000000,321.669938916255,8.00817405507427
28000000,321.959045427751,8.02450846957812
30000000,322.277193066852,8.04533893371828
32000000,322.62639150671,8.06637015747849
34000000,323.008865149004,8.08204678004268
36000000,323.427035501734,8.10344226913066
38000000,323.883709329747,8.13180632476039
40000000,324.382234108717,8.16771294198416
42000000,324.926706630666,8.2132723578354
44000000,325.522284642246,8.26847625087171
46000000,326.175465774635,8.34091433019858
48000000,326.894735087844,8.43666600216559
50000000,327.690833645203,8.55979818104337
52000000,328.57699515055,8.69164241838841
54000000,329.568826526614,8.87729645277828
56000000,330.682660911763,9.1230528163001
58000000,331.932641777431,9.43679846317
60000000,333.326250723396,9.78450182447324
62000000,334.865282327454,10.1619745642805
64000000,336.550278264217,10.5922744639086
66000000,338.381218131774,11.0503292273229
68000000,340.357794058162,11.5354474261723
70000000,342.480109311068,12.0949548655363
72000000.0000001,344.747283039702,12.6276190399021
74000000.0000001,347.159361908333,13.2398292312437
76000000.0000001,349.71564485202,13.8553296163197
78000000.0000001,352.415778388908,14.542689896606
80000000.0000001,355.258783065689,15.2119599510148
82000000.0000001,358.244348481865,15.9494386571044
84000000.0000001,1.37179462658916,16.6872559696951
86000000.0000001,4.63985949817763,17.4511678848311
88000000.0000001,8.04773666325547,18.2529312203024
90000000.0000001,11.594346350163,19.0483681059327
92000000.0000001,15.2781582303882,19.8581041512143
94000000.0000001,19.0977028436343,20.6744871881889
96000000.0000001,23.0510365441107,21.496390141044
98000000.0000001,27.1351152002038,22.2742299464438
100000000,31.3451529988222,22.9709270857605
102000000,35.6733566882521,23.5713793804797
104000000,40.1045248100707,24.0513249894925
106000000,44.6040200286694,24.2556297507628
108000000,49.1092019729157,24.1084280793813
110000000,53.5569663584863,23.6706266302143
112000000,57.9072006376602,23.0929103220072
114000000,62.1425014782926,22.4069548122316
116000000,66.254223847579,21.6269710792916
118000000,70.2373027332904,20.8129296211099
120000000,74.0888167153765,19.9961222872809
122000000,77.8069852025285,19.1917941524008
124000000,81.3899219068555,18.3734460480021
126000000,84.8356974919258,17.5737603659849
128000000,88.1435273028775,16.809269561756
130000000,91.3127139588335,16.0492720042163
132000000,94.3416592349883,15.3089275020067
134000000,97.2299573382154,14.6261863325717
136000000,99.9770557776957,13.9332042421482
138000000,102.582151473963,13.308445843213
140000000,105.04494759943,12.6826282331089
142000000,107.364759627142,12.1368492019955
144000000,109.541357366521,11.5624888879256
146000000,111.57403323002,11.0622053729693
148000000,113.462691361864,10.5910198303411
150000000,115.207090812154,10.14611128659
152000000,116.807418429511,9.75563111838503
154000000,118.264444208583,9.38710913872107
156000000,119.580902206663,9.0652678140345
158000000,120.766249468511,8.81594169470919
160000000,121.836086324471,8.63078139729868
162000000,122.807365901102,8.48872278880491
164000000,123.696055090449,8.361732220375
166000000,124.515934042505,8.26734209933967
168000000,125.278096023594,8.19635244099531
170000000,125.99089744486,8.14052891455794
172000000,126.660730523377,8.09831799697085
174000000,127.292523442967,8.07080145065476
176000000,127.890322910575,8.03528298587232
178000000,128.458005228979,8.00169101400326
180000000,128.999102182516,7.9756791923399
182000000,129.516664640275,7.95404186219643
184000000,130.013359352055,7.93671680207519
186000000,130.491551813139,7.92282656553738
188000000,130.953378186292,7.91142875034631
190000000,131.400796640018,7.90259561303945
192000000,131.835603241516,7.89660849884483
194000000,132.259437358715,7.89434528309801
196000000,132.673812791554,7.88927327668738
198000000,133.080190940172,7.87955823972945
200000000,133.480007923566,7.87307094655964
202000000,133.874656611691,7.86866529393802
204000000,134.26550114233,7.86545370195589
206000000,134.653884042539,7.86362359924243
208000000,135.041123515204,7.86334171949198
210000000,135.428519334719,7.86392009423784
212000000,135.817368441665,7.86588806279614
214000000,136.208989432972,7.86906424550086
216000000,136.604728955214,7.87404417824423
218000000,137.005953048421,7.88200774976776
220000000,137.414051050872,7.89324301236183
222000000,137.830450435394,7.89590851340482
224000000,138.256633468198,7.8990039653049
226000000,138.694155178244,7.90579186269646
228000000,139.14468561198,7.91459112025671
230000000,139.610019908773,7.92627908040674
232000000,140.092133071665,7.94088354494952
234000000,140.593201538361,7.95871154942231
236000000,141.115665013721,7.98118767917598
238000000,141.662295342308,8.00776417273308
240000000,142.236216945596,8.0421546637904
242000000,142.840955823133,8.07446057356278
244000000,143.48034106034,8.10670814320337
246000000,144.158660480374,8.1511506140154
248000000,144.881113457572,8.20929251848019
250000000,145.654317790762,8.28207334996778
252000000,146.486829596169,8.37990704591152
254000000,147.389994036605,8.51647231759913
256000000,148.378113883969,8.65893661410565
258000000,149.468374200408,8.85670995926491
260000000,150.67888739084,9.12221386237232
262000000,152.025201905386,9.46135553272752
264000000,153.515181299602,9.8301946186713
266000000,155.150594985885,10.2341845588287
268000000,156.932000772701,10.6937786774619
270000000,158.859154582792,11.1621886551513
272000000,160.931983378272,11.6789167586122
274000000,163.150540814902,12.2484492234789
276000000,165.514109438334,12.8187444089744
278000000,168.022482079525,13.4517122264122
280000000,170.674959495661,14.0916095659729
282000000,173.47101725733,14.7837037967129
284000000,176.410082548412,15.4949315933945
286000000,179.491315168322,16.2336629016246
288000000,182.714299392117,17.0189966854214
290000000,186.077517906837,17.7868323902394
292000000,189.579832054279,18.5887138611127
294000000,193.220687116224,19.415320604097
296000000,196.998571137973,20.2412740714791
298000000,200.910902102621,21.0477356414588
300000000,204.955278667617,21.8560116713022
302000000,209.128336227199,22.6139299294171
304000000,213.424316585001,23.2800699684517
306000000,217.832837239021,23.8416437635855
308000000,222.331224783189,24.210962756428
310000000,226.868650541202,24.2351279219216
312000000,231.379830161902,23.9182837596354
314000000,235.809219675324,23.3811404619232
316000000,240.130524948156,22.7363490650309
318000000,244.332082198743,21.9907194595495
320000000,248.407610066081,21.1923496080619
322000000,252.353291621238,20.3892748782276
324000000,256.166240794169,19.5463720026743
326000000,259.843976223889,18.7198197997497
328000000,263.385054137118,17.9163519866306
330000000,266.788571875889,17.128745822738
332000000,270.053192891748,16.3436232795783
334000000,273.178212201649,15.6016998123131
336000000,276.162966820477,14.8685403365969
338000000,279.006392792994,14.172283651535
340000000,281.708038520562,13.5155054535118
342000000,284.267286089466,12.8756514348186
344000000,286.683704539026,12.2881953976976
346000000,288.956700567713,11.7093415015865
348000000,291.085781934658,11.1776266153346
350000000,293.070851614942,10.6950834281618
352000000,294.911850343421,10.2208679577797
354000000,296.608686086136,9.80379073348601
356000000,298.162097804762,9.4138010811635
358000000,299.574788430559,9.06671934761826
360000000,300.856515094142,8.79874603317376
362000000,302.024174328441,8.60289124330782
364000000,303.096393556763,8.44342029266727
366000000,304.090597079883,8.31376834953163
368000000,305.021513690676,8.21914272400747
370000000,305.900352985497,8.14691200789265
372000000,306.735383550808,8.09447442161214
374000000,307.5328016095,8.0611431079599
376000000,308.297697237217,8.01021046732324
378000000,309.03498442406,7.97389282403928
380000000,309.748897319475,7.94545626768584
382000000,310.44304593643,7.92407226991379
384000000,311.120595178757,7.90773670527912
386000000,311.784390702306,7.89705074681121
388000000,312.437001657669,7.89418116963249
390000000,313.080765725242,7.87959027104199
392000000,313.717962920615,7.8703108647199
394000000,314.350805582349,7.8647366259413
396000000,314.981464323691,7.86333157002505
398000000,315.612073947428,7.86477427925917
400000000,316.24476073164,7.86962933649164
402000000,316.881691191688,7.87834972171818
404000000,317.525040122552,7.89449823406369
406000000,318.177046178964,7.89756362319323
408000000,318.840078510535,7.90813199485441
410000000,319.516686357557,7.92355953750249
412000000,320.209664808063,7.9445601367329
414000000,320.922153467602,7.9721448766073
416000000,321.657751050838,8.00753117518048
418000000,322.420628396407,8.05582339477633
420000000,323.215504003566,8.09203024125131
422000000,324.047520044103,8.14296762906975
424000000,324.922831784973,8.21292177526049
426000000,325.849422296755,8.30293412810105
428000000,326.837903038671,8.42828677134158
430000000,327.90250044323,8.58808076797556
432000000,329.06092966955,8.77727002347058
434000000,330.333061729431,9.04289881172615
436000000,331.737207177667,9.38576450853589
438000000,333.28403533788,9.77436138573451
440000000,334.976241825193,10.1903314432332
442000000,336.814441908282,10.6622858077129
444000000,338.798456211719,11.1477555528201
446000000,340.928142363464,11.6779386134264
448000000,343.203552617928,12.2605179080368
450000000,345.623974836873,12.8461387491687
452000000,348.189169497819,13.4907025142414
454000000,350.89846501176,14.147272920266
456000000,353.751235380431,14.8480542801118
458000000,356.746956595335,15.5822716147091
460000000,359.884642553703,16.3283344612234
462000000,3.16388612729471,17.1176452580567
464000000,6.58359367134158,17.908125394107
466000000,10.1424314365767,18.7168774624568
468000000,13.8396184619639,19.5482007784794
470000000,17.6738414815452,20.3932271803141
472000000,21.6424620740343,21.2025562471763
474000000,25.7425450390244,22.0049648003794
476000000,29.9701746909323,22.7524990310661
478000000,34.3188956324679,23.3967311880329
480000000,38.7765939825721,23.9337308591747
482000000,43.3159650255204,24.2411753286826
484000000,47.8792872117331,24.1951517909922
486000000,52.4013470163963,23.8181170243361
488000000,56.8332217921828,23.2474992922506
490000000,61.1532202109839,22.5675222937128
492000000,65.3513129788795,21.7968112248763
494000000,69.4219432967394,20.9801413637327
496000000,73.3618758403477,20.15936617196
498000000,77.1688078726813,19.3352751140732
500000000,80.8404293806109,18.4937989879603
502000000,84.3749601223732,17.679888405265
504000000,87.7717877567932,16.9051753986528
506000000,91.030126963226,16.1132529362508
508000000,94.1483157824578,15.3560611989833
510000000,97.1259259032935,14.6495213416266
512000000,99.9622804116961,13.9367923634839
514000000,102.656614674828,13.2888524805203
516000000,105.208615128895,12.6410797711746
518000000,107.617560587543,12.0736354532339
520000000,109.88326587484,11.4780846192496
522000000,112.005024444132,10.9638185882799
524000000,113.982852063755,10.4549582556433
526000000,115.816389697503,9.99422884394833
528000000,117.506373543837,9.59173993935731
530000000,119.054875305383,9.18732755092671
532000000,120.467980089917,8.87526647025053
534000000,121.761415825848,8.64220467710691
536000000,122.955080896894,8.46524892412105
538000000,124.068426897283,8.31612569362094
540000000,125.118061690038,8.21037005512777
542000000,126.116497603946,8.1317662107157
544000000,127.072789289195,8.07909256477423
546000000,127.993685620097,8.02846493022468
548000000,128.885101771378,7.98095132606074
550000000,129.752280747207,7.94536769114251
552000000,130.599678554506,7.91999384338015
554000000,131.431136831421,7.9020597081023
556000000,132.250056757816,7.89436046033746
558000000,133.059470966358,7.8799737695597
560000000,133.86224659727,7.86879377028614
562000000,134.661168739517,7.86360381916451
564000000,135.458964235056,7.864032265539
566000000,136.258321722409,7.86959108802675
568000000,137.061971935576,7.88336923221522
570000000,137.872697743113,7.8960515018908
572000000,138.693380550839,7.90577704435455
574000000,139.527106206307,7.92402961981937
576000000,140.377297617211,7.95059079063652
578000000,141.247875007309,7.98767681990761
580000000,142.143436567435,8.03594364090338
582000000,143.069261277002,8.0847759882318
584000000,144.031269572282,8.14208643494732
586000000,145.036531745884,8.22320221507806
588000000,146.094377291934,8.33111321641394
590000000,147.217514558892,8.48728991840976
592000000,148.422918808876,8.66615220442917
594000000,149.731227800384,8.91160314066213
596000000,151.1634251232,9.24094189264154
598000000,152.734894181445,9.6443365080422
600000000,154.45103032969,10.0575818517641
602000000,156.312894157871,10.5300590423612
604000000,158.320785223582,11.0364903401993
606000000,160.474336092924,11.5643503219943
608000000,162.773640317469,12.1628049155482
610000000,165.217886195497,12.7453690682618
612000000,167.806989853455,13.4015172128076
614000000,170.540183666197,14.0583472416236
616000000,173.417005962546,14.7714461809697
618000000,176.436844155544,15.5017644494996
620000000,179.598828971712,16.2592807812666
622000000,182.902563140694,17.0603404681842
624000000,186.346678821623,17.8513297287935
