"Distance [mm]","Mag_B []"
122.78233,844.237760390704
123.110625,844.304581668298
123.43892,844.388210303604
123.767215,844.488583953451
124.09551,844.57257218815
124.423805,844.532276654607
124.7521,844.506542054198
125.080395,844.495321627608
125.40869,844.498567967327
125.736985,844.516233030182
126.06528,844.551535072585
126.393575,844.60508101297
126.72187,844.672453866321
127.050165,844.753588872828
127.37846,844.848420604072
127.706755,844.942661867292
128.03505,844.895137868224
128.363345,844.864114632555
128.69164,844.849541944158
129.019935,844.851368644831
129.34823,844.869542646373
129.676525,844.906799043748
130.00482,844.966575487837
130.333115,845.043365051519
130.66141,845.13712733247
130.989705,845.247821065821
131.318,845.375404134836
131.646295,845.33273576955
131.97459,845.301922923093
132.302885,845.287753392654
132.63118,845.290173433776
132.959475,845.309128483771
133.28777,845.345826114501
133.616065,845.403833864928
133.94436,845.478811946062
134.272655,845.57070362399
134.60095,845.679451212093
134.929245,845.804996085677
135.25754,845.793201229082
135.585835,845.773183600725
135.91413,845.768562384461
136.242425,845.779293937267
136.57072,845.805333939593
136.899015,845.847334986492
137.22731,845.910092251304
137.555605,845.987804307856
137.8839,846.080409953138
138.212195,846.18784717898
138.54049,846.310053186654
138.868785,846.316459496457
139.19708,846.297094518814
139.525375,846.293706376516
139.85367,846.306246846523
140.181965,846.334666862334
140.51026,846.3789270075
140.838555,846.447390109613
141.16685,846.53191881363
141.495145,846.632463484446
141.82344,846.748973646835
142.151735,846.881397997697
142.48003,846.909759333478
142.808325,846.889581587753
143.13662,846.88549267863
143.464915,846.89744539914
143.79321,846.925391744048
144.121505,846.969282921689
144.4498,847.036016489858
144.778095,847.11968230106
145.10639,847.219402775527
145.434685,847.335119940205
145.76298,847.466774865399
146.091275,847.517511921763
146.41957,847.502098040285
146.747865,847.502423884547
147.07616,847.518442634304
147.404455,847.550106560989
147.73275,847.597367039054
148.061045,847.66819268355
148.38934,847.756794013336
148.717635,847.860919992099
149.04593,847.980517490017
149.374225,848.115532483826
149.70252,848.184149174808
150.030815,848.159546514762
150.35911,848.148020245306
150.687405,848.14952402845
151.0157,848.164010756573
151.343995,848.191432562235
151.67229,848.23886592036
152.000585,848.302994436523
152.32888,848.380502947758
152.657175,848.471424561598
152.98547,848.57579440855
153.313765,848.806814199828
153.64206,849.159955438591
153.970355,849.334906707829
154.29865,849.330740903809
154.626945,849.146567757049
154.95524,848.781534297609
155.283535,848.206120795569
155.61183,847.562521491429
155.940125,846.912931384808
156.26842,846.260586895401
156.596715,845.608755537026
156.92501,845.279866472891
157.253305,846.230274274759
157.5816,847.360599422171
157.909895,847.967378454367
158.23819,847.200631978926
158.566485,846.13617507751
158.89478,844.773420201042
159.223075,843.111994778085
159.55137,841.151760026047
159.879665,836.60899762725
160.20796,831.516173475461
160.536255,825.422138268283
160.86455,814.253594968531
161.192845,802.51560232589
161.52114,799.89167349841
161.849435,819.144925298162
162.17773,825.463594897885
162.506025,817.368322745999
162.83432,794.406480986451
163.162615,757.20218902664
163.49091,674.745600013669
163.819205,582.140785489163
164.1475,494.667281465816
164.475795,359.539711847571
164.80409,248.408458048529
165.132385,165.936095020591
165.46068,110.048196259497
165.788975,78.8149119454669
166.11727,70.7599205809041
166.445565,57.4198407970526
166.77386,46.0328798464049
167.102155,35.3016918137106
167.43045,24.5005604070676
167.758745,18.1553548908737
168.08704,15.9800452854835
168.415335,13.8091058424294
168.74363,11.5012595085198
169.071925,9.3843725818715
169.40022,7.47796608524022
169.728515,5.80412744460401
170.05681,4.3882878408272
170.385105,3.26000536537875
170.7134,2.45375381565517
171.041695,2.00971696387363
171.36999,1.76875178391466
171.698285,1.51688679973224
172.02658,1.61861386312778
172.354875,1.70300419266511
172.68317,1.76599426145687
173.011465,1.80523081211242
173.33976,1.8200910988919
173.668055,1.81170294060582
173.99635,1.78296457994273
174.324645,1.73856434492389
174.65294,1.68500010820135
174.981235,1.62006864017754
175.30953,1.47356267920465
175.637825,1.40705881897742
175.96612,1.36724580888442
176.294415,1.32658672217256
176.62271,1.28512130261262
176.951005,1.24291327747599
177.2793,1.20005025540241
177.607595,1.15664360806044
177.93589,1.11282833593259
178.264185,1.06876291856173
178.59248,1.02462914959876
178.920775,0.98761034698387
179.24907,0.957806059570403
179.577365,0.933566436710215
179.90566,0.915515279639101
180.233955,0.904174057444445
180.56225,0.899965101710433
180.890545,0.903214814216714
181.21884,0.91415688730273
181.547135,0.932935536508698
181.87543,0.959608745102695
182.203725,0.998982369052564
182.53202,1.0220403388327
182.860315,1.07008273899515
183.18861,1.11530980959012
183.516905,1.15790145684064
183.8452,1.1980617475542
184.173495,1.23601929072559
184.50179,1.27202762097836
184.830085,1.30636558344876
185.15838,1.33933771971459
185.486675,1.37127465437126
185.81497,1.42807030730149
186.143265,1.56767343043648
186.47156,1.57640886200569
186.799855,1.59407166150526
187.12815,1.6176453051148
187.456445,1.64147243099147
187.78474,1.66178817739806
188.113035,1.67597932760927
188.44133,1.68253423656817
188.769625,1.68099362324216
189.09792,1.67190222815209
189.426215,1.65676133535041
189.75451,1.59410804418955
190.082805,1.45044451654719
190.4111,2.30578313362489
190.739395,4.23618594092626
191.06769,6.08300401722629
191.395985,7.62778642953318
191.72428,8.73287885573488
192.052575,9.33837209698451
192.38087,9.45908145394753
192.709165,9.06851915936035
193.03746,8.2651697593614
193.365755,5.8232287028224
193.69405,2.6147147895775
194.022345,13.3680778063779
194.35064,30.6005292249741
194.678935,52.5859095415116
195.00723,79.3276159425266
195.335525,110.895111400094
195.66382,147.428088663739
195.992115,189.140769521174
196.32041,240.583822258757
196.648705,318.962643480216
196.977,414.121254491834
197.305295,526.646684748136
197.63359,643.130571397688
197.961885,749.681792940587
198.29018,791.469708082238
198.618475,817.677833325752
198.94677,827.532981906003
199.275065,821.671668652681
199.60336,802.069605910343
199.931655,800.442137985072
200.25995,812.160505692177
200.588245,823.589496061675
200.91654,830.571135802824
201.244835,835.958107339883
201.57313,840.80911162887
201.901425,842.864775458426
202.22972,844.471571587012
202.558015,845.79087093152
202.88631,846.823271442058
203.214605,847.569616199936
203.5429,847.196390918004
203.871195,846.223949413337
204.19949,845.481231873266
204.527785,845.940844138359
204.85608,846.745250365325
205.184375,847.384431931094
205.51267,847.85608206319
205.840965,848.1579274137
206.16926,848.287728321005
206.497555,848.397824510549
206.82585,848.50773711291
207.154145,848.611629117619
207.48244,848.709108973577
207.810735,848.799786462659
208.13903,848.749791878135
208.467325,848.612810211392
208.79562,848.492950957938
209.123915,848.390061287504
209.45221,848.303986174117
209.780505,848.234568420498
210.1088,848.184937917965
210.437095,848.153509120639
210.76539,848.139584311544
211.093685,848.143058298647
211.42198,848.163825181574
211.750275,848.119190029222
212.07857,847.994884047311
212.406865,847.884782073102
212.73516,847.788824467587
213.063455,847.706951260147
213.39175,847.639102165699
213.720045,847.587603339559
214.04834,847.550613302965
214.376635,847.527050494794
214.70493,847.516836990465
215.033225,847.519894426481
215.36152,847.477187962834
215.689815,847.343888307416
216.01811,847.226914361032
216.346405,847.126203872918
216.6747,847.041693840799
217.002995,846.973320526806
217.33129,846.923934597801
217.659585,846.892946914219
217.98788,846.878537519278
218.316175,846.88065172674
218.64447,846.899234188561
218.972765,846.888616800631
219.30106,846.756925651333
219.629355,846.641462953553
219.95765,846.542164339362
220.285945,846.458964818522
220.61424,846.391798794986
220.942535,846.341642825852
221.27083,846.308842967677
221.599125,846.292418583152
221.92742,846.292301763177
222.255715,846.308423862293
222.58401,846.317673357013
222.912305,846.201499881272
223.2406,846.099483069629
223.568895,846.011561857601
223.89719,845.937674679037
224.225485,845.877759482656
224.55378,845.833401278419
224.882075,845.805190076377
225.21037,845.790354657833
225.538665,845.788822275625
225.86696,845.800519765135
226.195255,845.819999157714
226.52355,845.694961371555
226.851845,845.586311381126
227.18014,845.493991187868
227.508435,845.417942032949
