"Distance [mm]","B_normal []"
49.572545,-0.985196231439075
49.90084,-0.985161949923686
50.229135,-0.98514618850682
50.55743,-0.985148863070509
50.885725,-0.98516988883898
51.21402,-0.985133278765672
51.542315,-0.984978086431919
51.87061,-0.984840431063986
52.198905,-0.984720236099225
52.5272,-0.984617424411893
52.855495,-0.984531918330984
53.18379,-0.984465049446289
53.512085,-0.984416314012024
53.84038,-0.984384727424246
54.168675,-0.984370198039446
54.49697,-0.984372633429789
54.825265,-0.984347751609999
55.15356,-0.984206917614546
55.481855,-0.984083382253526
55.81015,-0.983977077451622
56.138445,-0.983887934364346
56.46674,-0.983815883393321
56.795035,-0.983763929729033
57.12333,-0.983732002807048
57.451625,-0.983716929602918
57.77992,-0.983718638054622
58.108215,-0.983737055473456
58.43651,-0.983743176074634
58.764805,-0.98359136145541
59.0931,-0.983459288759098
59.421395,-0.9833468816853
59.74969,-0.983254062878695
60.077985,-0.983180753944908
60.40628,-0.983128416023176
60.734575,-0.983098604773382
61.06287,-0.983089180787409
61.391165,-0.983100083234028
61.71946,-0.98313125034358
62.047755,-0.98317593627348
62.37605,-0.983040633774716
62.704345,-0.982921551803397
63.03264,-0.982818617726937
63.360935,-0.982731758256623
63.68923,-0.982660899463055
64.017525,-0.982607607369766
64.34582,-0.982574009277041
64.674115,-0.982555631566569
65.00241,-0.982552384831271
65.330705,-0.982564179098224
65.659,-0.982590923845728
65.987295,-0.982456505875847
66.31559,-0.982327480430747
66.643885,-0.982218385362765
66.97218,-0.982129147960618
67.300475,-0.982059694434432
67.62877,-0.982010762149533
67.957065,-0.981986183486783
68.28536,-0.981982596343277
68.613655,-0.981999950656362
68.94195,-0.982038195359047
69.270245,-0.982097278392273
69.59854,-0.982008811962726
69.926835,-0.981899521406855
70.25513,-0.981806927969233
70.583425,-0.981730961360662
70.91172,-0.981671550551008
71.240015,-0.981628975938172
71.56831,-0.98160774691815
71.896605,-0.981602465150966
72.2249,-0.981613047416872
72.553195,-0.981639409844453
72.88149,-0.981681467926656
73.209785,-0.981602492535026
73.53808,-0.981485587512227
73.866375,-0.981387628236406
74.19467,-0.98130854357982
74.522965,-0.981248261406795
74.85126,-0.981206708588577
75.179555,-0.981190153531857
75.50785,-0.981193322716178
75.836145,-0.981215883947468
76.16444,-0.981257780139283
76.492735,-0.981318953395171
76.82103,-0.981270435466238
77.149325,-0.981154751901518
77.47762,-0.98105794591563
77.805915,-0.980979944227059
78.13421,-0.98092067269148
78.462505,-0.980880056317067
78.7908,-0.980861095104335
79.119095,-0.980861809277569
79.44739,-0.980881619641688
79.775685,-0.980920450680647
80.10398,-0.980978225904555
80.432275,-0.980960072553821
80.76057,-0.98086086586831
81.088865,-0.980778228216607
81.41716,-0.98071209617002
81.745455,-0.980662405631482
82.07375,-0.980629091849559
82.402045,-0.980616405927094
82.73034,-0.980621036140456
83.058635,-0.980641303456559
83.38693,-0.980677124781083
83.715225,-0.980728416346614
84.04352,-0.980721161982188
84.371815,-0.980612627573674
84.70011,-0.980523130996402
85.028405,-0.980452605954264
85.3567,-0.980400985117866
85.684995,-0.980368200138368
86.01329,-0.98035880307429
86.341585,-0.980371484787127
86.66988,-0.980403624932971
86.998175,-0.980455168882266
87.32647,-0.980526061146126
87.654765,-0.980556833283822
87.98306,-0.980449644136799
88.311355,-0.9803613905046
88.63965,-0.980292001974821
88.967945,-0.980241407260248
89.29624,-0.980209534213434
89.624535,-0.980198524036676
89.95283,-0.98020865644384
90.281125,-0.9802379923304
90.60942,-0.980286456937922
90.937715,-0.980353974459946
91.26601,-0.980408229753481
91.594305,-0.980318332510577
91.9226,-0.980245083666688
92.250895,-0.980188421268335
92.57919,-0.980148282641262
92.907485,-0.980124604403819
93.23578,-0.980119949363634
93.564075,-0.980134996130746
93.89237,-0.980165776705557
94.220665,-0.980212210460076
94.54896,-0.980274216070838
94.877255,-0.980340428918081
95.20555,-0.980240313602767
95.533845,-0.9801593114067
95.86214,-0.980097358081638
96.190435,-0.980054388316628
96.51873,-0.980030335751331
96.847025,-0.980027495358158
97.17532,-0.980049387092177
97.503615,-0.980090841440588
97.83191,-0.980151805797235
98.160205,-0.980232226656488
98.4885,-0.980332049625477
98.816795,-0.980243898850138
99.14509,-0.980163832094158
99.473385,-0.980102792966747
99.80168,-0.980060713190883
100.129975,-0.980037523580153
100.45827,-0.980034089229007
100.786565,-0.980053657639257
101.11486,-0.980092585114999
101.443155,-0.980150799946121
101.77145,-0.980228229339053
102.099745,-0.980324799430798
102.42804,-0.98027489209617
102.756335,-0.980210659823855
103.08463,-0.980163105749867
103.412925,-0.980132170115368
103.74122,-0.980117792433447
104.069515,-0.980120536602741
104.39781,-0.980146001310512
104.726105,-0.980187322457765
105.0544,-0.980244420785253
105.382695,-0.98031721627803
105.71099,-0.980405628179721
106.039285,-0.980366393472705
106.36758,-0.980293676954285
106.695875,-0.980240087962257
107.02417,-0.980205564267541
107.352465,-0.980190042560269
107.68076,-0.980193458462336
108.009055,-0.980224297580891
108.33735,-0.980274973097733
108.665645,-0.980345255460447
108.99394,-0.980435093656159
109.322235,-0.980544435746189
109.65053,-0.980536071203109
109.978825,-0.980464499135727
110.30712,-0.980412041624085
110.635415,-0.98037863221116
110.96371,-0.980364203503561
111.292005,-0.980368687184831
111.6203,-0.980396848476174
111.948595,-0.980445172864985
112.27689,-0.980512912955212
112.605185,-0.980599997149812
112.93348,-0.98070635272499
113.261775,-0.980729563183509
113.59007,-0.980674284854976
113.918365,-0.980635777783835
114.24666,-0.980613982763965
114.574955,-0.98060883978943
114.90325,-0.980620288066661
115.231545,-0.980654072084466
115.55984,-0.980705738718508
115.888135,-0.980773338557289
116.21643,-0.980856796070046
116.544725,-0.980956034991745
116.87302,-0.980990585925254
117.201315,-0.980926670823899
117.52961,-0.980881945210524
117.857905,-0.980856349609676
118.1862,-0.980849823463933
118.514495,-0.980862305145968
118.84279,-0.980899543501102
119.171085,-0.98095945500969
119.49938,-0.981039043524163
119.827675,-0.981138258869848
120.15597,-0.98125704989741
120.484265,-0.981328930700559
120.81256,-0.98126505706398
121.140855,-0.981220612002468
121.46915,-0.981195535335684
121.797445,-0.981189765928995
122.12574,-0.981203241705701
122.454035,-0.981239245649587
122.78233,-0.981297582179366
123.110625,-0.981375499874496
123.43892,-0.981472927070282
123.767215,-0.981589790896966
124.09551,-0.9816875464024
124.423805,-0.981640711064383
124.7521,-0.981610853556669
125.080395,-0.981597921252642
125.40869,-0.981601860741377
125.736985,-0.981622617838661
126.06528,-0.981663917396175
126.393575,-0.981726427198879
126.72187,-0.981805021320822
127.050165,-0.981899622647247
127.37846,-0.982010153194896
127.706755,-0.98211996705542
128.03505,-0.982064614704646
128.363345,-0.982028482385155
128.69164,-0.982011510587068
129.019935,-0.98201363863025
129.34823,-0.982034804675639
129.676525,-0.982078214798283
130.00482,-0.982147902214679
130.333115,-0.982237412739634
130.66141,-0.982346700515312
130.989705,-0.982475718682062
131.318,-0.982624419388512
131.646295,-0.98257521963488
131.97459,-0.982539712936095
132.302885,-0.982523463082632
132.63118,-0.982526406384705
132.959475,-0.982548478105033
133.28777,-0.982591100669737
133.616065,-0.982658497192095
133.94436,-0.9827455698762
134.272655,-0.982852256567223
134.60095,-0.982978494007413
134.929245,-0.983124217848376
135.25754,-0.983111029638341
135.585835,-0.983088368853223
135.91413,-0.983083574293567
136.242425,-0.983096597284634
136.57072,-0.983127388389119
136.899015,-0.98317672374496
137.22731,-0.983250246644538
137.555605,-0.983341051764983
137.8839,-0.983449063713631
138.212195,-0.983574206063142
138.54049,-0.983716401364504
138.868785,-0.98372366265681
139.19708,-0.983700979481032
139.525375,-0.98369697463542
139.85367,-0.983711592537318
140.181965,-0.983744776599589
140.51026,-0.983796481060666
140.838555,-0.983876128015507
141.16685,-0.983974531184735
141.495145,-0.984091629954822
141.82344,-0.984227362661102
142.151735,-0.984381666599132
142.48003,-0.984415039955439
142.808325,-0.984392024916438
143.13662,-0.984387763994427
143.464915,-0.984402204633259
