"X [ms]","AvgTorque [NewtonMeter]","InputCurrent(phaseA) [A]","InducedVoltage(phaseA) [kV]"
49.9999999999998,,1.12540988289586E-13,-4.50236918068353
50.1999999999998,,-0.119301987105582,-4.49507145413171
50.3999999999998,,-0.238133143772065,-4.42724934764905
50.5999999999998,,-0.356024497712761,-4.32243077565756
50.7999999999998,,-0.472510785613109,-4.5437550017506
50.9999999999998,,-0.587132289312286,-4.30940034655388
51.1999999999998,,-0.699436650100776,-4.1977211664978
51.3999999999998,,-0.80898065397353,-4.19575359692592
51.5999999999998,,-0.915331980793153,-3.59949678526446
51.7999999999998,,-1.01807091045999,-4.0104583680012
51.9999999999998,,-1.1167919793556,-4.08365514628157
52.1999999999998,,-1.21110558052241,-3.14651064087284
52.3999999999998,,-1.30063950126442,-3.79556431961462
52.5999999999998,,-1.3850403921006,-2.86815562853748
52.7999999999998,,-1.46397516127392,-2.41788828040796
52.9999999999998,,-1.53713228931233,-3.46251508349633
53.1999999999998,,-1.60422305845376,-2.6325826536799
53.3999999999998,,-1.66498269208328,-2.03707892134717
53.5999999999998,,-1.71917139968538,-2.47426267372574
53.7999999999998,,-1.76657532318763,-0.889380969813276
53.9999999999998,,-1.80700738096075,-1.63274789593243
54.1999999999998,,-1.84030800614437,-2.10166318948848
54.3999999999998,,-1.86634577638449,-0.319490728548555
54.5999999999998,,-1.88501793249749,-1.16530282780158
54.7999999999998,,-1.89625078401371,-0.194852710799189
54.9999999999998,,-1.9,0.764525640873703
55.1999999999998,,-1.89625078401372,-0.743798308031591
55.3999999999998,,-1.88501793249752,0.170135886700429
55.5999999999998,,-1.86634577638453,1.20547766184773
55.7999999999998,,-1.84030800614443,0.543589529429207
55.9999999999998,,-1.80700738096084,1.78452163137443
56.1999999999998,,-1.76657532318773,1.61763469992621
56.3999999999998,,-1.7191713996855,1.23231536243464
56.5999999999998,,-1.66498269208341,2.27249575289219
56.7999999999998,,-1.6042230584539,1.96636685969636
56.9999999999998,,-1.53713228931248,2.58252956906427
57.1999999999998,,-1.46397516127409,3.57629329603299
57.3999999999998,,-1.38504039210078,2.34085980423584
57.5999999999998,,-1.30063950126461,2.86848435047448
57.7999999999998,,-1.21110558052262,3.8533331667623
57.9999999999998,,-1.11679197935581,3.0614742990703
58.1999999999998,,-1.01807091046021,4.132968664999
58.3999999999998,,-0.915331980793386,4.03136564600987
58.5999999999998,,-0.808980653973768,3.53360011582306
58.7999999999998,,-0.699436650101024,4.24770112764516
58.9999999999998,,-0.587132289312539,4.1914124858127
59.1999999999998,,-0.472510785613367,4.28992611738814
59.3999999999998,,-0.356024497713022,4.56048257841183
59.5999999999998,,-0.238133143772326,4.31633697522948
59.7999999999997,,-0.119301987105844,4.41814694565548
59.9999999999997,,-1.49899529124889E-13,4.50479856314001
60.1999999999997,,0.119301987105545,4.50281161639693
60.3999999999997,,0.238133143772028,4.42398927476402
60.5999999999997,,0.356024497712728,4.31510003429776
60.7999999999997,,0.472510785613075,4.54501980586666
60.9999999999997,,0.587132289312253,4.29743774589693
61.1999999999997,,0.699436650100745,4.20625058725966
61.3999999999997,,0.808980653973497,4.24930468103507
61.5999999999997,,0.915331980793122,3.52401538568815
61.7999999999997,,1.01807091045996,4.00835869332078
61.9999999999997,,1.11679197935557,4.13747705407487
62.1999999999997,,1.21110558052239,3.08390168506901
62.3999999999997,,1.30063950126439,3.79815081482616
62.5999999999997,,1.38504039210057,2.90509409378261
62.7999999999997,,1.4639751612739,2.37940258770148
62.9999999999998,,1.53713228931231,3.44172781520737
63.1999999999998,,1.60422305845375,2.60798131486187
63.3999999999998,,1.66498269208327,2.02994111315004
63.5999999999998,,1.71917139968538,2.27017340485959
63.7999999999998,,1.76657532318763,1.22613228874532
63.9999999999998,,1.80700738096075,1.58209246495217
64.1999999999998,,1.84030800614437,1.76982014139624
64.3999999999998,,1.86634577638449,0.592410299731014
64.5999999999998,,1.88501793249749,1.33244259072304
64.7999999999998,,1.89625078401371,0.119617372072671
64.9999999999998,,1.9,-1.03142596130141
65.1999999999998,,1.89625078401372,0.997217374012633
65.3999999999998,,1.88501793249752,-0.11097817011863
65.5999999999998,,1.86634577638453,-1.29967957537209
65.7999999999998,,1.84030800614442,-0.571486068395828
65.9999999999998,,1.80700738096082,-1.79516372654966
66.1999999999998,,1.76657532318771,-1.62182212958152
66.3999999999998,,1.71917139968548,-1.23582462337871
66.5999999999999,,1.66498269208338,-2.23766600341094
66.7999999999999,,1.60422305845387,-2.04151785963421
66.9999999999999,,1.53713228931245,-2.62445454894188
67.1999999999999,,1.46397516127405,-3.36336778556729
67.3999999999999,,1.38504039210073,-2.46603705327765
67.5999999999999,,1.30063950126456,-2.92617924681674
67.7999999999999,,1.21110558052256,-3.71299755089649
67.9999999999999,,1.11679197935575,-3.07575995609127
68.1999999999999,,1.01807091046015,-4.15981151195746
68.3999999999999,,0.915331980793309,-4.02652783502537
68.5999999999999,,0.808980653973684,-3.51781707471433
68.7999999999999,,0.699436650100936,-4.22873171125644
68.9999999999999,,0.587132289312443,-4.21015749469845
69.1999999999999,,0.472510785613262,-4.31790829640989
69.3999999999999,,0.356024497712916,-4.520074722596
69.5999999999999,,0.238133143772212,-4.32703340732989
69.7999999999999,,0.11930198710573,-4.42259817645069
70,,2.86294042017498E-14,-4.5008531858149
70.2,,-0.119301987105673,-4.52137227068442
70.4,,-0.238133143772155,-4.39496696992386
70.6,,-0.35602449771286,-4.29724234600794
70.8,,-0.472510785613207,-4.61016197414781
71,,-0.587132289312389,-4.28062487749481
71.2,,-0.699436650100882,-4.17870470055691
71.4,,-0.808980653973631,-4.20510855712802
71.6,,-0.915331980793259,-3.60396207398164
71.8,,-1.01807091046009,-4.00244719767769
72,,-1.1167919793557,-4.10117789358209
72.2,,-1.21110558052252,-3.14573753493371
72.4,,-1.30063950126452,-3.84179235286871
72.6,,-1.38504039210069,-2.8660457027384
72.8,,-1.46397516127401,-2.33391095450155
73,,-1.53713228931241,-3.56137796952551
73.2,,-1.60422305845384,-2.63247618341087
73.4,,-1.66498269208335,-2.00896273909722
73.6000000000001,,-1.71917139968545,-2.42672233022343
73.8000000000001,,-1.76657532318769,-0.916448464069459
74.0000000000001,,-1.8070073809608,-1.63529218387207
74.2000000000001,,-1.84030800614441,-2.04143835900693
74.4000000000001,,-1.86634577638452,-0.349549448685149
74.6000000000001,,-1.88501793249752,-1.18437145324538
74.8000000000001,,-1.89625078401372,-0.157320166247583
75.0000000000001,,-1.9,0.77265229723877
75.2000000000001,,-1.89625078401371,-0.746438170022916
75.4000000000001,,-1.8850179324975,0.193131982586632
75.6000000000001,,-1.8663457763845,1.18327830736887
75.8000000000001,,-1.84030800614438,0.446985654633485
76.0000000000001,,-1.80700738096077,1.94916170731799
76.2000000000001,,-1.76657532318765,1.62214381743151
76.4000000000001,,-1.7191713996854,1.06453083189557
76.6000000000001,,-1.6649826920833,2.3847956184353
76.8000000000001,,-1.60422305845378,2.03270235645182
77.0000000000002,,-1.53713228931235,2.55435994417136
77.2000000000002,,-1.46397516127394,3.45348909792143
77.4000000000002,,-1.38504039210062,2.41410814531366
77.6000000000002,,-1.30063950126443,2.91420979629895
77.8000000000002,,-1.21110558052243,3.77780917112649
78.0000000000002,,-1.11679197935561,3.05157761906726
78.2000000000002,,-1.01807091046,4.13988564694644
78.4000000000002,,-0.915331980793162,4.03002622827904
78.6000000000002,,-0.808980653973532,3.53441035623525
78.8000000000002,,-0.699436650100773,4.24346262813036
79.0000000000002,,-0.587132289312283,4.19422908655963
79.2000000000002,,-0.472510785613099,4.29167984826635
79.4000000000002,,-0.356024497712744,4.5481410590473
79.6000000000002,,-0.238133143772045,4.32369686291776
79.8000000000002,,-0.119301987105555,4.42403432222027
80,,-1.86146313470398E-15,4.49917521964909
