"Time [ns]","Moving1.Position [deg]","Torque1.Torque [deg]"
0,0,27.0607389922384
200000,0.36,24.5900045748646
400000,0.720000000000002,17.5421210698095
600000,1.08,11.2739887124901
800000,1.44,3.65200549030128
1000000,1.8,1.14165397084137
1200000,2.16,0.547536572533684
1400000,2.52,3.77973668995868
1600000,2.88,9.49221416180944
1800000,3.24,13.7023770384552
2000000,3.6,17.6349993175655
2200000,3.96,23.2504648302491
2400000,4.32,30.2434736616609
2600000,4.68,36.234123741315
2800000,5.04,40.331554884324
3000000,5.4,35.7182660635444
3200000,5.75999999999998,30.1228713322218
3400000,6.12,23.5209151891011
3600000,6.48000000000003,16.1148768253236
3800000,6.83999999999999,7.80444722118651
4000000,7.20000000000002,-1.87795646014294
4200000,7.55999999999998,-8.34443431314486
4400000,7.92000000000001,-9.53943728667335
4600000,8.27999999999997,-5.65810201973195
4800000,8.64,0.940000868299527
5000000,9.00000000000002,7.0420121468417
5200000,9.35999999999999,8.51832063189975
5400000,9.72000000000001,13.0621485206827
5600000,10.08,20.8595775033
5800000,10.44,29.5369471370887
6000000,10.8,35.3836769200007
6200000,11.16,35.4403789762841
6400000,11.52,30.5591431874592
6600000,11.88,27.4756266087688
6800000,12.24,23.9828538542424
7000000,12.6,18.9940967179785
7200000,12.96,17.2326801640775
7400000,13.32,13.9712126997013
7599999.99999999,13.68,17.5291624799951
7799999.99999999,14.04,23.9896910814182
7999999.99999999,14.4,34.2566963714323
8200000,14.76,45.9109694990318
8400000,15.12,58.3743355586871
8600000,15.48,69.3112204169238
8800000,15.84,82.7472321750199
9000000,16.2,96.8702697538472
9200000,16.56,110.34048784675
9400000,16.92,124.971282012615
9600000,17.28,135.711935638738
9800000,17.64,147.955230659674
10000000,18,160.961904843709
10200000,18.36,175.346775227854
10400000,18.72,189.268064158226
10600000,19.08,204.286518562692
10800000,19.44,216.502997320084
11000000,19.8,232.102989492852
11200000,20.16,247.757123696843
11400000,20.52,262.150551884351
11600000,20.88,275.025736822885
11800000,21.24,283.419818566112
12000000,21.6,291.075415212883
12200000,21.96,300.049463998474
12400000,22.32,308.55826368279
12600000,22.68,315.622264236084
12800000,23.04,321.1578576861
13000000,23.4,320.002345097436
13200000,23.76,321.225867447173
13400000,24.12,323.124781707111
13600000,24.48,323.018338739633
13800000,24.84,321.299260634594
14000000,25.2,316.506681964807
14200000,25.56,310.128815049241
14400000,25.92,303.969487512194
14600000,26.28,297.136381743889
