"Time [ms]","Torque1.Torque []"
25,0.063316190551886
25.2,-9.52427369999742
25.4,-15.8600872834392
25.6,-22.1890004199989
25.8,-27.3342643532273
26,-31.6052372643917
26.2,-34.8460785249447
26.4,-36.4405612902019
26.6,-30.8875423754845
26.7999999999999,-23.5310546483227
26.9999999999999,-19.170386324276
27.1999999999999,-14.9000618463871
27.3999999999999,-16.5642223398668
27.5999999999999,-19.1104170626227
27.7999999999999,-24.8389255932511
27.9999999999999,-33.4959579297823
28.1999999999999,-44.2493131419614
28.3999999999999,-56.7651152175185
28.5999999999999,-72.1614935785697
28.7999999999999,-85.1198254132722
28.9999999999999,-98.0201333355187
29.1999999999999,-111.400695206839
29.3999999999999,-123.472461531702
29.5999999999999,-139.114701198036
29.7999999999999,-152.585670217127
29.9999999999999,-164.954196833817
30.1999999999999,-176.195185519491
30.3999999999999,-188.485621893689
30.5999999999999,-201.458033430124
30.7999999999999,-219.006853808964
30.9999999999999,-234.642558818831
31.1999999999999,-249.003826392678
31.3999999999999,-260.985200704474
31.5999999999999,-271.721446469426
31.7999999999999,-283.953565612418
31.9999999999999,-295.349300855371
32.1999999999999,-304.151737266938
32.3999999999999,-309.913572461927
32.5999999999999,-313.878504131648
32.7999999999999,-317.220247457352
32.9999999999999,-323.958546319349
33.1999999999999,-326.505635254547
33.3999999999999,-325.360727145214
33.5999999999999,-323.269736751765
33.7999999999999,-320.307040812758
33.9999999999999,-317.868860699704
34.1999999999999,-313.719601631241
34.3999999999999,-307.931862654661
34.5999999999999,-299.675511081549
34.7999999999999,-289.884362849019
34.9999999999999,-277.635480063893
35.1999999999999,-270.182260510193
35.3999999999999,-258.651078683008
35.5999999999999,-245.984730114282
35.7999999999999,-231.618664036683
35.9999999999999,-215.940007945406
36.1999999999999,-200.517270980453
36.3999999999999,-185.789812116941
36.5999999999999,-170.279991742972
36.7999999999999,-154.985925873557
36.9999999999999,-140.317963602731
37.1999999999999,-125.297642438124
37.3999999999999,-114.076637093177
37.5999999999999,-100.493510009824
37.7999999999999,-86.0590000999932
37.9999999999999,-70.526661299297
38.1999999999999,-56.0511789787436
38.3999999999999,-42.4347321178323
38.5999999999999,-31.3430787473109
38.7999999999999,-17.1276936117001
38.9999999999999,-2.84470363300187
39.1999999999999,9.93355617108222
39.3999999999999,21.0936498988726
39.5999999999999,25.223826950149
39.7999999999999,26.9342029910962
39.9999999999999,26.5682451638672
40.1999999999999,23.2120473443946
40.3999999999999,16.0183917013876
40.5999999999999,10.2298607276804
40.7999999999999,3.20249166178343
40.9999999999999,1.30039859281284
41.1999999999999,1.123562644033
41.3999999999999,4.31063717352225
41.5999999999999,9.5749976218702
41.7999999999999,13.5315163720708
41.9999999999999,17.3048326743127
42.1999999999999,23.1647462204947
42.3999999999999,30.1029446442656
42.5999999999999,37.0362005541588
42.7999999999999,40.5493596188289
42.9999999999999,36.4614846131653
43.1999999999998,30.5871550323079
43.3999999999998,24.0144734289754
43.5999999999998,16.1377377152748
43.7999999999998,7.49438717187587
43.9999999999998,-2.28118376090291
44.1999999999998,-8.83540947671659
44.3999999999998,-9.46445709845561
44.5999999999998,-5.74899760024585
44.7999999999998,0.537745795708417
44.9999999999998,6.41315996871631
45.1999999999998,7.85774763695486
45.3999999999998,12.6262777866299
45.5999999999998,20.5386144889701
45.7999999999998,28.8898075109903
45.9999999999998,35.045381484443
46.1999999999998,35.0600497727912
46.3999999999998,30.3407181665702
46.5999999999998,27.762190296007
46.7999999999998,24.46328584474
46.9999999999998,19.6562087651677
47.1999999999998,17.4054559064937
47.3999999999998,14.3324353979049
47.5999999999998,17.1877429585702
47.7999999999998,23.6435695418712
47.9999999999998,33.8726083153574
48.1999999999998,45.7898205514732
48.3999999999998,58.4130481672555
48.5999999999998,69.1153583635962
48.7999999999998,82.6975215087664
48.9999999999998,96.8361740669014
49.1999999999998,110.421558927308
49.3999999999998,124.883134221121
49.5999999999998,135.608013713316
49.7999999999998,147.854297221681
49.9999999999998,160.977900045415
50.1999999999998,175.332264881723
50.3999999999998,189.258774044279
50.5999999999998,204.216322096513
50.7999999999998,216.357327846015
50.9999999999998,232.201577141916
51.1999999999998,247.88245630499
51.3999999999998,262.166260963965
51.5999999999998,275.419956925133
51.7999999999998,283.671775551094
51.9999999999998,291.241318494814
52.1999999999998,300.060577841019
52.3999999999998,308.490261592516
52.5999999999998,315.27337758815
52.7999999999998,321.010982895719
52.9999999999998,319.653693153919
53.1999999999998,320.832299816875
53.3999999999998,322.623109836849
53.5999999999998,323.354143072489
53.7999999999998,321.81167149603
53.9999999999998,316.864151235046
54.1999999999998,310.03753733082
54.3999999999998,303.863453732964
54.5999999999998,297.316458191411
54.7999999999998,290.83338486144
54.9999999999998,282.005819571512
55.1999999999998,267.284353400041
55.3999999999998,253.95269521349
55.5999999999998,241.461116648362
55.7999999999998,229.164872484411
55.9999999999998,214.974163070909
56.1999999999998,198.613582436884
56.3999999999998,181.004452530126
56.5999999999998,165.840204691385
56.7999999999998,152.432984631134
56.9999999999998,139.49112050839
57.1999999999998,128.363507085331
57.3999999999998,112.684925955305
57.5999999999998,98.4893109077623
57.7999999999998,84.5571516732203
57.9999999999998,71.0832524082624
58.1999999999998,58.1166419243882
58.3999999999998,44.3430004744846
58.5999999999998,28.9062228441942
58.7999999999998,15.939044320987
58.9999999999998,3.32468307951585
59.1999999999998,-9.88141359850473
59.3999999999998,-18.7389990158574
59.5999999999998,-28.2283882146665
59.7999999999997,-31.1229980528717
59.9999999999997,-28.4299877521274
60.1999999999997,-22.3936599870597
60.3999999999997,-17.8765822756721
60.5999999999997,-10.3233719139869
60.7999999999997,-6.1496640948438
60.9999999999997,-2.34899294794336
61.1999999999997,-1.99703627497897
61.3999999999997,-4.59328531500654
61.5999999999997,-8.09366173066925
61.7999999999997,-15.4552883029472
61.9999999999997,-21.8292654054136
62.1999999999997,-27.4200020010031
62.3999999999997,-32.1755198394685
62.5999999999997,-36.6984081945099
62.7999999999997,-37.5267755650197
62.9999999999998,-40.9141386354901
63.1999999999998,-36.191437826615
63.3999999999998,-26.4540468411864
63.5999999999998,-15.5527532516751
63.7999999999998,-5.23582278675063
63.9999999999998,1.59959206719519
64.1999999999998,5.16191315632707
64.3999999999998,6.61563924226174
64.5999999999998,5.65413643869507
64.7999999999998,3.80966918598466
64.9999999999998,0.0925455630155122
65.1999999999998,-9.84325690663665
65.3999999999998,-16.3226609473336
65.5999999999998,-22.0964904570064
65.7999999999998,-26.5691500386323
65.9999999999998,-30.6195573971053
66.1999999999998,-34.2353828352955
66.3999999999998,-35.8677822196204
66.5999999999999,-30.7906838338844
66.7999999999999,-23.9108507310334
66.9999999999999,-20.3749780580511
67.1999999999999,-15.7510173273373
67.3999999999999,-17.2522616791779
67.5999999999999,-19.1783797761461
67.7999999999999,-24.7167094176675
67.9999999999999,-33.2660675377834
68.1999999999999,-44.0598523679572
68.3999999999999,-56.7290503276855
68.5999999999999,-72.298917362477
68.7999999999999,-85.1468283939961
68.9999999999999,-98.0742651744028
69.1999999999999,-111.613393022277
69.3999999999999,-123.507998361277
69.5999999999999,-139.159607679284
69.7999999999999,-152.533585937919
70,-165.059193620944
70.2,-176.362553801079
70.4,-188.334942084214
70.6,-201.329884086148
70.8,-218.886382418311
71,-234.643084682674
71.2,-248.837264339007
71.4,-260.727943055048
71.6,-271.142467140904
71.8,-283.576775559412
72,-295.223529073424
72.2,-303.995829216203
72.4,-309.61493316504
72.6,-313.710546089874
72.8,-317.563723256825
73,-324.378833766026
73.2,-326.665013866325
73.4,-325.386298288274
73.6000000000001,-323.157935190936
73.8000000000001,-320.690667312132
74.0000000000001,-318.16488756814
74.2000000000001,-314.177417284391
74.4000000000001,-308.147035084142
74.6000000000001,-299.897067402285
74.8000000000001,-290.040868539242
75.0000000000001,-277.520097474225
75.2000000000001,-270.034054454514
75.4000000000001,-258.762663214035
75.6000000000001,-246.068548610742
75.8000000000001,-231.202878857178
76.0000000000001,-215.412780551154
76.2000000000001,-200.063998254352
76.4000000000001,-185.987173262652
76.6000000000001,-169.950156628401
76.8000000000001,-154.363808913488
77.0000000000002,-139.982457240128
77.2000000000002,-124.596432067682
77.4000000000002,-114.026930701749
77.6000000000002,-100.514156246144
77.8000000000002,-86.0529690344189
78.0000000000002,-70.7630736100413
78.2000000000002,-56.2471825192444
78.4000000000002,-42.3848750718296
78.6000000000002,-31.2239322024165
78.8000000000002,-17.1406902418297
79.0000000000002,-2.96679482471154
79.2000000000002,9.872596283774
79.4000000000002,20.9891967155772
79.6000000000002,25.1301157195353
79.8000000000002,26.9681022741226
80,26.9694364620928
