"Time [ns]","Moving1.Position [deg]","FluxLinkage(Winding1) [deg]"
42500000,224.999999999995,-1.30256834862966e-05
43000000,269.999999999995,-1.24488381171145e-05
43500000,314.999999999995,1.29847038710508e-05
44000000,359.999999999994,1.24924442996336e-05
44500000,44.9999999999949,-1.3026277751651e-05
45000000,89.999999999995,-1.24492945008309e-05
45500000,134.999999999995,1.29851643585736e-05
46000000,179.999999999995,1.24929305170779e-05
46500000,224.999999999994,-1.30267885542688e-05
47000000,269.999999999994,-1.24496111270093e-05
47500000,314.999999999994,1.29854904251693e-05
48000000,359.999999999994,1.24932391490842e-05
48500000,44.9999999999933,-1.30270714927175e-05
49000000,89.9999999999933,-1.24498310917972e-05
49500000,134.999999999993,1.29857192292776e-05
50000000,179.999999999993,1.24934940161068e-05
50500000,224.999999999992,-1.30273599315882e-05
51000000,269.999999999993,-1.24499819162573e-05
51500000,314.999999999993,1.2985881250822e-05
52000000,359.999999999992,1.24936442348596e-05
52500000,44.9999999999917,-1.30274822667523e-05
53000000,89.9999999999916,-1.24500858971233e-05
53500000,134.999999999991,1.29859940564144e-05
54000000,179.999999999991,1.24937806702859e-05
54500000,224.999999999991,-1.30276561392711e-05
55000000,269.999999999991,-1.24501558541569e-05
55500000,314.999999999991,1.29860741002659e-05
56000000,359.99999999999,1.24938498050301e-05
56500000,44.9999999999909,-1.30276954600203e-05
57000000,89.9999999999905,-1.24502036480738e-05
57500000,134.999999999991,1.29861290939276e-05
58000000,179.999999999991,1.24939257579077e-05
58500000,224.99999999999,-1.30278101929765e-05
59000000,269.99999999999,-1.24502347489446e-05
59500000,314.99999999999,1.29861683817313e-05
60000000,359.99999999999,1.24939535157709e-05
60500000,44.9999999999901,-1.30278064995974e-05
61000000,89.9999999999899,-1.24502558038661e-05
61500000,134.99999999999,1.29861947368996e-05
62000000,179.99999999999,1.24939986816229e-05
62500000,224.999999999988,-1.30278906306547e-05
63000000,269.999999999989,-1.24502686313608e-05
63500000,314.999999999988,1.29862138996639e-05
64000000,359.999999999988,1.24940054123077e-05
64500000,44.9999999999876,-1.30278645825894e-05
65000000,89.9999999999876,-1.24502772885255e-05
65500000,134.999999999987,1.2986226181596e-05
66000000,179.999999999987,1.24940349775605e-05
66500000,224.999999999987,-1.30279328307033e-05
67000000,269.999999999987,-1.2450281795116e-05
67500000,314.999999999987,1.29862354961846e-05
68000000,359.999999999986,1.24940310826172e-05
68500000,44.999999999986,-1.30278951222578e-05
69000000,89.9999999999859,-1.2450284930982e-05
69500000,134.999999999986,1.29862409364676e-05
70000000,179.999999999986,1.24940527921187e-05
70500000,224.999999999986,-1.30279550959705e-05
71000000,269.999999999985,-1.24502858403104e-05
71500000,314.999999999985,1.29862454902892e-05
72000000.0000001,359.999999999985,1.24940435693841e-05
72500000.0000001,44.9999999999852,-1.30279112784731e-05
73000000.0000001,89.9999999999853,-1.24502866790561e-05
73500000.0000001,134.999999999985,1.29862476531427e-05
74000000.0000001,179.999999999985,1.24940613578424e-05
74500000.0000001,224.999999999984,-1.30279669218423e-05
75000000.0000001,269.999999999985,-1.24502861724512e-05
75500000.0000001,314.999999999984,1.29862499439785e-05
76000000.0000001,359.999999999984,1.24940494926783e-05
76500000.0000001,44.9999999999844,-1.30279198867849e-05
77000000.0000001,89.9999999999841,-1.24502861755804e-05
77500000.0000001,134.999999999984,1.29862505689873e-05
78000000.0000001,179.999999999984,1.24940653485297e-05
78500000.0000001,224.999999999984,-1.30279732514351e-05
79000000.0000001,269.999999999983,-1.24502852182034e-05
79500000.0000001,314.999999999984,1.29862518097329e-05
80000000.0000001,359.999999999983,1.24940521932127e-05
80500000.0000001,44.9999999999827,-1.30279245111608e-05
81000000.0000001,89.9999999999824,-1.24502850128454e-05
81500000.0000001,134.999999999983,1.29862517347668e-05
82000000.0000001,179.999999999983,1.24940671139245e-05
82500000.0000001,224.999999999983,-1.30279766688873e-05
83000000.0000001,269.999999999983,-1.24502840015683e-05
83500000.0000001,314.999999999983,1.29862525055479e-05
84000000.0000001,359.999999999982,1.24940533432128e-05
84500000.0000001,44.9999999999819,-1.3027927018331e-05
85000000.0000001,89.9999999999819,-1.2450283831009e-05
85500000.0000001,134.999999999981,1.29862521267707e-05
86000000.0000001,179.999999999981,1.24940678239489e-05
86500000.0000001,224.999999999982,-1.30279785319489e-05
87000000.0000001,269.999999999981,-1.24502829064859e-05
87500000.0000001,314.999999999981,1.29862526992078e-05
88000000.0000001,359.999999999981,1.24940537701848e-05
88500000.0000001,44.9999999999819,-1.30279283914525e-05
89000000.0000001,89.9999999999819,-1.24502828452616e-05
89500000.0000001,134.999999999981,1.29862521990234e-05
90000000.0000001,179.999999999981,1.24940680530435e-05
90500000.0000001,224.999999999982,-1.30279795583357e-05
91000000.0000001,269.999999999981,-1.24502820391871e-05
91500000.0000001,314.999999999981,1.29862526963585e-05
92000000.0000001,359.999999999981,1.24940538768414e-05
92500000.0000001,44.9999999999803,-1.30279291516936e-05
93000000.0000001,89.9999999999801,-1.24502820931994e-05
93500000.0000001,134.99999999998,1.29862521553977e-05
94000000.0000001,179.99999999998,1.24940680775614e-05
94500000.0000001,224.99999999998,-1.30279801301017e-05
95000000.0000001,269.999999999979,-1.2450281395775e-05
95500000.0000001,314.999999999979,1.29862526308556e-05
96000000.0000001,359.999999999979,1.24940538543362e-05
96500000.0000001,44.9999999999787,-1.30279295774225e-05
97000000.0000001,89.9999999999784,-1.24502815472133e-05
97500000.0000001,134.999999999979,1.29862520824179e-05
98000000.0000001,179.999999999978,1.24940680263326e-05
98500000.0000001,224.999999999978,-1.30279804523031e-05
99000000.0000001,269.999999999978,-1.24502809365896e-05
99500000.0000001,314.999999999978,1.29862525570556e-05
100000000,359.999999999971,1.24940537899293e-05
