"Time [ns]","Moving1.Position [deg]","Torque1.Torque [deg]"
0,320,8.05856349077772
2000000,320.009241422281,8.07685997396415
4000000,320.03700772661,8.13202440415028
6000000,320.083425630767,8.22481657874437
8000000,320.148708288436,8.35651848090567
10000000,320.233158251539,8.52899778091869
12000000,320.337171789032,8.74480838148337
14000000,320.461244812407,9.00737992726395
16000000,320.60598087098,9.3213715591459
18000000,320.772102057304,9.69326736866934
20000000,320.960464150944,10.1321181602735
22000000,321.172077455018,10.6497865635414
24000000,321.408122834507,11.2317594452309
26000000,321.669938916255,11.8907164040592
28000000,321.959045427751,12.651552945352
30000000,322.277193066852,13.5325660943038
32000000,322.62639150671,14.5089889660491
34000000,323.008865149004,15.5457543099268
36000000,323.427035501734,16.7617631779883
38000000,323.883709329747,18.209055551081
40000000,324.382234108717,19.9675480087792
42000000,324.926706630666,22.2116622438607
44000000,325.522284642246,24.9796619989401
46000000,326.175465774635,28.6743073946036
48000000,326.894735087844,33.3415612152179
50000000,327.690833645203,39.097938579601
52000000,328.57699515055,46.0509309330712
54000000,329.568826526614,53.3414123130393
56000000,330.682660911763,59.9865506941458
58000000,331.932641777431,63.1430374225882
60000000,333.326250723396,63.4587345403098
62000000,334.865282327454,63.7376530230417
64000000,336.550278264217,63.7243827969857
66000000,338.381218131774,63.4451331364815
68000000,340.357794058162,63.7693950891669
70000000,342.480109311068,63.0219511149108
72000000.0000001,344.747283039702,63.3814030838833
74000000.0000001,347.159361908333,62.8132059493782
76000000.0000001,349.71564485202,62.8911587966591
78000000.0000001,352.415778388908,62.2221312118436
80000000.0000001,355.258783065689,62.2560859348804
82000000.0000001,358.244348481865,61.9766680274045
84000000.0000001,1.37179462658916,61.280120700934
86000000.0000001,4.63985949817763,61.0418152295963
88000000.0000001,8.04773666325547,60.5803468037678
90000000.0000001,11.594346350163,59.8376903836867
92000000.0000001,15.2781582303882,59.2633938144433
94000000.0000001,19.0977028436343,58.4561984501789
96000000.0000001,23.0510365441107,57.1708236956369
98000000.0000001,27.1351152002038,55.1500001504011
100000000,31.3451529988222,51.9894397107902
102000000,35.6733566882521,46.2498197384283
104000000,40.1045248100707,32.571534980182
106000000,44.6040200286694,2.34396141172835
108000000,49.1092019729157,-27.0595676956014
110000000,53.5569663584863,-44.424507731792
112000000,57.9072006376602,-50.5756228438687
114000000,62.1425014782926,-54.1680393703486
116000000,66.254223847579,-56.2799011104106
