"Time [s]","L(Winding1,Winding1) []"
0.730000000000001,24.7519296307282
0.732000000000001,25.4807157429746
0.734000000000001,26.2012130852809
0.736000000000001,26.7733005817311
0.738000000000001,27.0918063324117
0.740000000000001,27.0439504509463
0.742000000000001,26.5630978133964
0.744000000000001,25.8945724812163
0.746000000000001,25.2070410207379
0.748000000000001,24.4604592095905
0.750000000000001,23.7594667951785
0.752000000000001,23.0747301437219
0.754000000000001,22.4172343988525
0.756000000000001,21.799261814898
0.758000000000001,21.2201236375326
0.760000000000001,20.6656618022689
0.762000000000001,20.1715890941694
0.764000000000001,19.6802340037146
0.766000000000001,19.2487763504456
0.768000000000001,18.8663551944217
0.770000000000001,18.486646568837
0.772000000000001,18.1642747599026
0.774000000000001,17.8888073392281
0.776000000000001,17.6607064619308
0.778000000000001,17.4426042629933
0.780000000000001,17.2684860530333
0.782000000000001,17.1372730248632
0.784000000000001,17.0490061793696
0.786000000000001,17.0004869525137
0.788000000000001,16.9909989915075
0.790000000000001,17.0204941900136
0.792000000000001,17.0892200867215
0.794000000000001,17.1988745987471
0.796000000000001,17.3523461091157
0.798000000000001,17.5504902919934
0.800000000000001,17.7727707832101
0.802000000000001,18.0232297516724
0.804000000000001,18.3251395397261
0.806000000000001,18.6731903947693
0.808000000000001,19.0607178067507
0.810000000000001,19.4634093827244
0.812000000000001,19.9245384233846
0.814000000000001,20.4209898645298
0.816000000000001,20.9409484236227
0.818000000000001,21.5306464189252
0.820000000000001,22.1101262226267
0.822000000000001,22.7715601708033
0.824000000000001,23.4156406799658
0.826000000000001,24.1262900799761
0.828000000000001,24.8322605152103
0.830000000000001,25.5536432263109
0.832000000000001,26.2783073750648
0.834000000000001,26.8305733300637
0.836000000000001,27.1014747191041
0.838000000000001,26.9984496410667
0.840000000000001,26.5020920299575
0.842000000000001,25.8243865608121
0.844000000000001,25.1312808068924
0.846000000000001,24.3853617141575
0.848000000000001,23.6813197080794
0.850000000000001,23.003981943212
0.852000000000001,22.3404453410362
0.854000000000001,21.7286342639329
0.856000000000001,21.1420300519406
0.858000000000001,20.5915910294275
0.860000000000001,20.0930788241978
0.862000000000001,19.6016602607869
0.864000000000001,19.1702967721591
0.866000000000001,18.7774248762066
0.868000000000001,18.3985051801489
0.870000000000001,18.0734570065979
0.872000000000001,17.8013188674362
0.874000000000001,17.5617314948712
0.876000000000001,17.3349301107114
0.878000000000001,17.1567623010631
0.880000000000001,17.0235213711921
0.882000000000001,16.9291852668521
0.884000000000001,16.873119084531
0.886000000000001,16.8564424493463
0.888000000000001,16.8787175586933
0.890000000000001,16.9405150205382
0.892000000000001,17.040089150356
0.894000000000001,17.179419763896
0.896000000000001,17.3642061795174
0.898000000000001,17.5986150473188
0.900000000000001,17.8366342665102
0.902000000000001,18.1174611288015
0.904000000000001,18.4484003391749
0.906000000000001,18.8377656506207
0.908000000000001,19.2276319884592
0.910000000000001,19.6668853515851
0.912000000000001,20.17006973865
0.914000000000001,20.6664371138489
0.916000000000001,21.2274648779219
0.918000000000001,21.8107952416142
0.920000000000001,22.4351657030452
0.922000000000001,23.0943130665924
0.924000000000001,23.7867826291029
0.926000000000001,24.4878008598719
0.928000000000001,25.2335887670437
0.930000000000001,25.9244319546512
0.932000000000001,26.5801855316916
0.934000000000001,27.0430174560311
0.936000000000001,27.0925370813029
0.938000000000001,26.7629115038249
0.940000000000001,26.171353205886
0.942000000000001,25.4570729080897
0.944000000000001,24.7286493320858
0.946000000000001,24.0343693200928
0.948000000000001,23.3228918380322
0.950000000000001,22.6807769205754
0.952000000000001,22.0258903006775
0.954000000000001,21.455410776077
0.956000000000001,20.8688268236554
0.958000000000001,20.3560620100125
0.960000000000001,19.8620998293234
0.962000000000001,19.4079111221857
0.964000000000001,19.0144497384787
0.966000000000001,18.6276305578913
0.968000000000001,18.2878499689074
0.970000000000001,17.9925258924398
0.972000000000001,17.7488092998713
0.974000000000001,17.5290184930366
0.976000000000001,17.3379750484315
0.978000000000001,17.1908651567046
0.980000000000001,17.0874480020385
0.982000000000001,17.0247160672455
0.984000000000001,17.0011865410568
0.986000000000001,17.0166411262248
0.988000000000001,17.0712022496805
0.990000000000001,17.1659423487842
0.992000000000001,17.3043316091045
0.994000000000001,17.4853897393011
0.996000000000001,17.7036717074994
0.998000000000001,17.9385845740587
1,18.2229519775569
