"Time [ns]","Moving1.Position [deg]","L(Winding1,Winding1) [deg]"
0,320,8.09702553206071
2000000,320.009686732223,8.09733024856862
4000000,320.038793152746,8.09825553329241
6000000,320.087458631479,8.09983305634614
8000000,320.155917715716,8.10211624695097
10000000,320.24450356279,8.10518039385516
12000000,320.353652957747,8.10912271630071
14000000,320.483913230224,8.11406257227588
16000000,320.635951659445,8.1201446576359
18000000,320.810568435771,8.12755478960166
20000000,321.008714816015,8.13656784928661
22000000,321.231518045243,8.14763975886176
24000000,321.480295717378,8.15988431884347
26000000,321.756530922033,8.17472202693722
28000000,322.06192570052,8.19343220168315
30000000,322.398453847551,8.21754305428093
32000000,322.76837156178,8.23582055536651
34000000,323.174125406946,8.25464374162385
36000000,323.618467508765,8.28045671557762
38000000,324.104645453391,8.31381947739346
40000000,324.636577003294,8.3564490502168
42000000,325.21917180167,8.40960920061557
44000000,325.858641808217,8.47661085956377
46000000,326.562997561841,8.56585519913981
48000000,327.342702120737,8.68882534093994
50000000,328.210861606278,8.8181047519837
52000000,329.183428485354,8.9923590037732
54000000,330.278021507163,9.23218442290757
56000000,331.511511299964,9.54290603965834
58000000,332.894886124809,9.91284766652809
60000000,334.43160091543,10.3001637937718
62000000,336.122472143064,10.7473394429871
64000000,337.967991075529,11.2458435501519
66000000,339.967857537626,11.7504239486431
68000000,342.122507479105,12.336080873193
70000000,344.431455851298,12.9166645030922
72000000.0000001,346.894737183103,13.572026687669
74000000.0000001,349.511888995685,14.2418603556701
76000000.0000001,352.282777545477,14.9863375904067
78000000.0000001,355.206655042349,15.7220252240482
80000000.0000001,358.283525205134,16.5346053072576
82000000.0000001,1.51306239857617,17.3608197589837
84000000.0000001,4.89434086671938,18.224991507238
86000000.0000001,8.42713183099981,19.1403551501293
88000000.0000001,12.1113249990093,20.0835687033917
90000000.0000001,15.9461399811627,21.0466110525571
92000000.0000001,19.9306726170273,22.0538294596334
94000000.0000001,24.0643961813826,23.0953816445553
96000000.0000001,28.3457575088244,24.1589937361287
98000000.0000001,32.7711303041282,25.2279889788243
100000000,37.332578252132,26.2325411107224
102000000,42.0075077549836,26.9818209294139
104000000,46.7364755225063,27.0695216725856
106000000,51.4355657789679,26.4590933533104
108000000,56.0342578873445,25.4825087845965
110000000,60.5029345091628,24.4287375318871
112000000,64.8312833927822,23.3668585024717
114000000,69.0150050821645,22.319034438107
116000000,73.0521792817028,21.3157703724546
118000000,76.9416455994684,20.3288090431301
120000000,80.6820451909182,19.3592721450585
122000000,84.2726394534954,18.4385631521039
124000000,87.7137213500031,17.5786295317573
126000000,91.0051496737087,16.7082506140135
128000000,94.1456940257034,15.8909099550064
130000000,97.1353497821435,15.1365826996581
132000000,99.9737429852822,14.3792836756255
134000000,102.660369701055,13.6972314298651
136000000,105.195181509338,13.0180784511436
138000000,107.577679955581,12.4315093054781
140000000,109.807922166399,11.8122112289006
142000000,111.885357490257,11.2828858229405
144000000,113.810149405755,10.7692071324237
146000000,115.582127593676,10.3001557383916
148000000,117.201994648729,9.89343186603007
150000000,118.67116035496,9.49582273215834
152000000,119.994101677139,9.17562508206574
154000000,121.183818643761,8.92840718693852
156000000,122.258623545674,8.75392892546348
158000000,123.237134959877,8.60027240786611
160000000,124.136031292099,8.48117313756893
162000000,124.96918474875,8.39351867713494
164000000,125.747165337805,8.32572263487396
166000000,126.477873174438,8.27399221661546
168000000,127.16733062533,8.23954334400229
170000000,127.82031408944,8.2029586740578
172000000,128.441232831825,8.16406467811003
174000000,129.034155801578,8.134568753191
176000000,129.602592173752,8.1104108308854
178000000,130.149587535162,8.09146406207556
180000000,130.677833742231,8.07644374764365
182000000,131.189762461867,8.06458884304283
184000000,131.687594187759,8.05595244078887
186000000,132.173349701485,8.05213464437735
188000000,132.648874126459,8.04740513213558
190000000,133.115925028391,8.0358938508617
192000000,133.576230328922,8.0286708915122
194000000,134.031468296827,8.02381076830012
196000000,134.48328602862,8.02075485136167
198000000,134.933300063559,8.01978958598403
200000000,135.383099573366,8.02025696703361
202000000,135.834262331298,8.0225649758624
204000000,136.288390588187,8.02660850283732
206000000,136.747121354865,8.03345806098316
208000000,137.212115009712,8.04464319316832
210000000,137.685065501164,8.0533190371019
212000000,138.167725038151,8.05577815706506
214000000,138.661924902696,8.06316301087087
216000000,139.169628459579,8.07349499548678
